date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1996069,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996070,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996071,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996072,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996073,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996074,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996075,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996076,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996077,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996078,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996079,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996080,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996081,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996082,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996083,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996084,-67.17,147.23,1,-67.2,146.3,1,0,0,0,0,0,0,0,0,0,28,12
1996085,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996086,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996087,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996088,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996089,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996090,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996091,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996092,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996093,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996094,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996095,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996096,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996097,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996098,-67.17,147.23,1,-67.2,147,1,0,0,0,0,0,0,0,0,0,28,12
1996099,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996100,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996101,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996102,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996103,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996104,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996105,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996106,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996107,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996108,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996109,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996110,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996111,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996112,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996113,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996114,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996115,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996116,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996117,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996118,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996119,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996120,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996121,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
