ascat_1,ascat_2,ascat_3,date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,1992032,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992033,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992034,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992035,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992036,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992037,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992038,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992039,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992040,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992041,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992042,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992043,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992044,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992045,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992046,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992047,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992048,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992049,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992050,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992051,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992052,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992053,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992054,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992055,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992056,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992057,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992058,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992059,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992060,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
