date,ers_1,ers_2,ers_3
1992040,-65.94,141.88,1
1992041,-65.94,141.88,1
1992042,-65.94,141.88,1
1992043,-65.94,141.88,1
1992044,-65.94,141.88,1
1992045,-65.94,141.88,1
1992046,-65.94,141.88,1
1992047,-65.94,141.88,1
1992048,-65.94,141.88,1
1992049,-65.8817,141.6963,1
1992050,-65.765,141.3288,1
1992051,-65.6483,140.9613,1
1992052,-65.59,140.7776,1
1992053,-65.59,140.7776,1
1992054,-65.59,140.7776,1
1992055,-65.59,140.7776,1
1992056,-65.59,140.7776,1
1992057,-65.59,140.7776,1
1992058,-65.59,140.7776,1
1992059,-65.59,140.7776,1
1992060,-65.59,140.7776,1
1992061,-65.59,140.7776,1
1992062,-65.59,140.7776,1
1992063,-65.59,140.7776,1
1992064,-65.6183,140.6345,1
1992065,-65.6749,140.3484,1
1992066,-65.7315,140.0623,1
1992067,-65.7652,139.8559,1
1992068,-65.7762,139.7292,1
1992069,-65.7871,139.6026,1
1992070,-65.7925,139.5393,1
1992071,-65.7925,139.5393,1
1992072,-65.7925,139.5393,1
1992073,-65.7925,139.5393,1
1992074,-65.7925,139.5393,1
1992075,-65.7925,139.5393,1
1992076,-65.7925,139.5393,1
1992077,-65.7925,139.5393,1
1992078,-65.7925,139.5393,1
1992079,-65.7925,139.5393,1
1992080,-65.7925,139.5393,1
1992081,-65.7925,139.5393,1
1992082,-65.7925,139.5393,1
1992083,-65.7925,139.5393,1
1992084,-65.7925,139.5393,1
1992085,-65.7925,139.5393,1
1992086,-65.7925,139.5393,1
1992087,-65.7925,139.5393,1
1992088,-65.7925,139.5393,1
1992089,-65.7925,139.5393,1
1992090,-65.7925,139.5393,1
1992091,-65.7871,139.5548,1
1992092,-65.7762,139.5857,1
1992093,-65.7653,139.6166,1
1992094,-65.7544,139.6475,1
1992095,-65.7434,139.6785,1
1992096,-65.7326,139.7094,1
1992097,-65.7217,139.7403,1
1992098,-65.7108,139.7713,1
1992099,-65.6999,139.8022,1
1992100,-65.689,139.8331,1
1992101,-65.6781,139.864,1
1992102,-65.6672,139.895,1
1992103,-65.6562,139.9259,1
1992104,-65.6454,139.9568,1
1992105,-65.6345,139.9877,1
1992106,-65.6138,139.9402,1
1992107,-65.5835,139.8141,1
1992108,-65.5532,139.6881,1
1992109,-65.538,139.6251,1
1992110,-65.538,139.6251,1
1992111,-65.538,139.6251,1
1992112,-65.538,139.6251,1
1992113,-65.538,139.6251,1
1992114,-65.538,139.6251,1
1992115,-65.5172,139.5849,1
1992116,-65.4757,139.5045,1
1992117,-65.4341,139.4241,1
1992118,-65.4335,139.2582,1
1992119,-65.4738,139.0068,1
1992120,-65.5142,138.7554,1
1992121,-65.5225,138.5867,1
1992122,-65.4986,138.5008,1
1992123,-65.4748,138.4149,1
1992124,-65.4672,138.2941,1
1992125,-65.4757,138.1385,1
1992126,-65.4841,137.9828,1
1992127,-65.4886,137.8296,1
1992128,-65.4891,137.6789,1
1992129,-65.4896,137.5281,1
1992130,-65.4898,137.4527,1
1992131,-65.4898,137.4527,1
1992132,-65.4898,137.4527,1
1992133,-65.4726,137.4376,1
1992134,-65.4381,137.4074,1
1992135,-65.4035,137.3772,1
1992136,-65.3863,137.3621,1
1992137,-65.3863,137.3621,1
1992138,-65.3863,137.3621,1
1992139,-65.3863,137.3621,1
1992140,-65.3863,137.3621,1
