date,ers_1,ers_2,ers_3
1996215,-69.69,-127.68,1
1996216,-69.69,-127.68,1
1996217,-69.69,-127.68,1
1996218,-69.7021,-127.5942,1
1996219,-69.7264,-127.4226,1
1996220,-69.7507,-127.251,1
1996221,-69.7441,-127.1012,1
1996222,-69.7066,-126.9731,1
1996223,-69.6691,-126.8449,1
1996224,-69.6321,-126.7481,1
1996225,-69.5954,-126.6825,1
1996226,-69.5587,-126.6168,1
1996227,-69.5404,-126.584,1
1996228,-69.5404,-126.584,1
1996229,-69.5404,-126.584,1
1996230,-69.5404,-126.584,1
1996231,-69.5404,-126.584,1
1996232,-69.5404,-126.584,1
1996233,-69.5522,-126.5554,1
1996234,-69.5758,-126.4982,1
1996235,-69.5994,-126.441,1
1996236,-69.5602,-126.1737,1
1996237,-69.4583,-125.6963,1
1996238,-69.3564,-125.219,1
1996239,-69.2943,-125.0282,1
1996240,-69.2719,-125.1242,1
1996241,-69.2494,-125.2201,1
1996242,-69.217,-125.3516,1
1996243,-69.1745,-125.5188,1
1996244,-69.132,-125.686,1
1996245,-69.1025,-125.873,1
1996246,-69.0858,-126.0798,1
1996247,-69.0691,-126.2867,1
1996248,-69.0686,-126.4464,1
1996249,-69.0843,-126.559,1
1996250,-69.1,-126.6715,1
1996251,-69.0984,-126.7546,1
1996252,-69.0797,-126.8081,1
1996253,-69.061,-126.8615,1
1996254,-69.0187,-126.9176,1
1996255,-68.9527,-126.9762,1
1996256,-68.8866,-127.0349,1
1996257,-68.8566,-127.0234,1
1996258,-68.8625,-126.9419,1
1996259,-68.8684,-126.8603,1
1996260,-68.8783,-126.7706,1
1996261,-68.892,-126.6728,1
1996262,-68.9058,-126.5749,1
1996263,-68.9186,-126.5271,1
1996264,-68.9306,-126.5292,1
1996265,-68.9425,-126.5312,1
1996266,-68.9163,-126.6736,1
1996267,-68.8521,-126.9561,1
1996268,-68.7879,-127.2386,1
1996269,-68.7528,-127.4359,1
1996270,-68.7467,-127.548,1
1996271,-68.7407,-127.6601,1
1996272,-68.7181,-127.7551,1
1996273,-68.6789,-127.8332,1
1996274,-68.6397,-127.9113,1
1996275,-68.6262,-127.9512,1
1996276,-68.6385,-127.9528,1
1996277,-68.6507,-127.9544,1
1996278,-68.6483,-127.8506,1
1996279,-68.6313,-127.6414,1
1996280,-68.6143,-127.4323,1
1996281,-68.5765,-127.1775,1
1996282,-68.5179,-126.877,1
1996283,-68.4594,-126.5766,1
1996284,-68.3926,-126.3307,1
1996285,-68.3177,-126.1394,1
1996286,-68.2427,-125.948,1
1996287,-68.202,-125.7965,1
1996288,-68.1956,-125.685,1
1996289,-68.1892,-125.5734,1
1996290,-68.1804,-125.4856,1
1996291,-68.1693,-125.4216,1
1996292,-68.1581,-125.3577,1
1996293,-68.146,-125.2806,1
1996294,-68.133,-125.1905,1
1996295,-68.1201,-125.1004,1
1996296,-68.1134,-124.9791,1
1996297,-68.1129,-124.8267,1
1996298,-68.1123,-124.6742,1
1996299,-68.1134,-124.4823,1
1996300,-68.1161,-124.2508,1
1996301,-68.1187,-124.0194,1
1996302,-68.0808,-123.8135,1
1996303,-68.0024,-123.6329,1
1996304,-67.9239,-123.4524,1
1996305,-67.8282,-123.2552,1
1996306,-67.7151,-123.0412,1
1996307,-67.6021,-122.8272,1
1996308,-67.5215,-122.6035,1
1996309,-67.4734,-122.3702,1
1996310,-67.4254,-122.1369,1
1996311,-67.3782,-121.8728,1
1996312,-67.3319,-121.5778,1
1996313,-67.2856,-121.2829,1
1996314,-67.2392,-121.1453,1
1996315,-67.1929,-121.1649,1
1996316,-67.1466,-121.1844,1
1996317,-67.0848,-121.2183,1
1996318,-67.0076,-121.2665,1
1996319,-66.9304,-121.3148,1
1996320,-66.865,-121.3704,1
1996321,-66.8115,-121.4334,1
1996322,-66.7579,-121.4965,1
1996323,-66.6738,-121.4934,1
1996324,-66.5592,-121.4241,1
1996325,-66.4445,-121.3548,1
1996326,-66.367,-121.2939,1
1996327,-66.3265,-121.2413,1
1996328,-66.286,-121.1888,1
