Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update,,,,,,,,
A23A,44,40,-75.79,-41.06,belle (grounded),2/21/2020,,,,,,,,
A63,11,3,-76.28,-46.83,belle (grounded),2/21/2020,,,,,,,,
A64,16,11,-69.73,-60.98,belle (grounded),2/21/2020,,,,,,,,
A68A,82,26,-62.89,-52.74,belle,2/21/2020,,,,,,,,
A68B,7,3,-64.08,-56.23,belle,2/21/2020,,,,,,,,
B09B,27,9,-66.26,143.38,wilke,2/21/2020,,,,,,,,
B09G,12,7,-67.96,41.71,amerw (grounded),2/21/2020,,,,,,,,
B09I,12,6,-68.21,33.44,amerw,2/21/2020,,,,,,,,
B15AA,11,6,-53.35,-30.44,belle,2/21/2020,,,,,,,,
B15AB,11,4,-66.01,51.12,amerw (grounded),2/21/2020,,,,,,,,
B16,9,5,-56.16,-24.21,weddw,2/21/2020,,,,,,,,
B22A,44,24,-73.97,-109.28,amune (grounded),2/21/2020,,,,,,,,
B28,10,7,-74.69,-108.78,amune (grounded),2/21/2020,,,,,,,,
B29,11,5,-74.52,-108.91,amune (grounded),2/21/2020,,,,,,,,
B37,8,3,-72.67,-111.46,amune,2/21/2020,,,,,,,,
B38,6,4,-76.99,-155.06,rosse,2/21/2020,,,,,,,,
B39,8,4,-68.39,77.33,amere,2/21/2020,,,,,,,,
B40,8,5,-65.66,132.21,wilke,2/21/2020,,,,,,,,
B42,13,4,-73.05,-125.73,amunw (grounded),2/21/2020,,,,,,,,
B43,10,5,-70.89,-176.31,rossc,2/21/2020,,,,,,,,
B45,8,6,-74.69,-109.35,amune (grounded),2/21/2020,,,,,,,,
B46,10,4,-74.44,-105.58,amune,2/21/2020,,,,,,,,
B47,19,5,-73.78,-133.73,amunw,2/21/2020,,,,,,,,
B48,12,2,-73.91,-112.91,amune,2/21/2020,,,,,,,,
B49,10,5,-74.75,-102.26,amune,2/21/2020,,,,,,,,
C15,14,10,-66.01,143.33,wilke,2/21/2020,,,,,,,,
C18B,20,4,-65.46,113.84,wilkw (grounded),2/21/2020,,,,,,,,
C21B,12,8,-64.99,95.86,wilkw (grounded),2/21/2020,,,,,,,,
C24,11,3,-64.84,96.02,wilkw (grounded),2/21/2020,,,,,,,,
C29,5,5,-66.10,142.86,wilke (grounded),2/21/2020,,,,,,,,
C30,9,3,-64.78,96.30,wilkw (grounded),2/21/2020,,,,,,,,
C31,9,3,-64.69,96.51,wilkw (grounded),2/21/2020,,,,,,,,
C33,8,4,-66.10,143.94,wilke,2/21/2020,,,,,,,,
C34,11,5,-65.63,108.44,wilkw,2/21/2020,,,,,,,,
C35,12,5,-68.24,148.22,wilke (grounded),2/21/2020,,,,,,,,
C36,23,16,-68.11,147.85,wilke (grounded),2/21/2020,,,,,,,,
D15A,51,24,-66.65,81.92,amere (grounded),2/21/2020,,,,,,,,
D15B,33,12,-66.99,81.58,amere (grounded),2/21/2020,,,,,,,,
D20A,20,9,-68.67,36.25,amerw,2/21/2020,,,,,,,,
D21B,11,4,-75.36,-36.28,belle,2/21/2020,,,,,,,,
D23,8,6,-69.43,74.67,amere (grounded),2/21/2020,,,,,,,,
D26,19,2,-69.36,29.40,wedde (grounded),2/21/2020,,,,,,,,
D27,8,5,-67.27,81.87,amere (grounded),2/21/2020,,,,,,,,
D28,29,19,-67.37,72.02,amere (grounded),2/21/2020,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
