Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-75.88,-41.22,belle,12/18/2020
A63,11,3,-71.77,-52.04,belle,12/18/2020
A64,16,9,-69.73,-60.99,belle (grounded),12/18/2020
A68A,73,24,-55.73,-37.23,belle,12/18/2020
A68D,11,5,-55.09,-37.38,belle,12/18/2020
A69A,10,9,-68.23,-60.07,belle,12/18/2020
A69B,10,7,-67.89,-61.31,belle,12/18/2020
B09B,24,8,-66.26,143.38,wilke,12/18/2020
B09G,11,7,-67.96,41.68,amerw (grounded),12/18/2020
B09I,12,6,-70.69,-39.54,belle,12/18/2020
B15AB,11,4,-66.03,51.06,amerw (grounded),12/18/2020
B22A,38,24,-73.93,-109.36,amune (grounded),12/18/2020
B28,9,6,-74.67,-108.77,amune (grounded),12/18/2020
B29,11,5,-74.51,-108.91,amune (grounded),12/18/2020
B37,8,3,-72.69,-111.57,amune,12/18/2020
B38,6,4,-77.00,-155.03,rosse (grounded),12/18/2020
B39,8,4,-65.52,54.97,amerw,12/18/2020
B40,6,5,-65.60,132.25,wilke (grounded),12/18/2020
B42,12,4,-72.96,-126.55,amunw (grounded),12/18/2020
B45,7,6,-74.69,-109.34,amune (grounded),12/18/2020
B46,10,4,-72.75,-108.47,amune,12/18/2020
B47,12,5,-73.80,-133.84,amunw (grounded),12/18/2020
B50,15,6,-73.75,-135.35,amunw,12/18/2020
C15,12,8,-65.97,143.30,wilke,12/18/2020
C18B,19,4,-64.56,99.65,wilkw,12/18/2020
C21B,11,8,-64.99,95.86,wilkw (grounded),12/18/2020
C24,11,2,-64.84,96.02,wilkw (grounded),12/18/2020
C29,5,5,-66.15,143.13,wilke,12/18/2020
C30,9,3,-64.78,96.30,wilkw (grounded),12/18/2020
C31,9,3,-64.69,96.51,wilkw (grounded),12/18/2020
C33,8,4,-65.18,129.59,wilke,12/18/2020
C35,7,5,-68.23,148.15,wilke (grounded),12/18/2020
C36,22,15,-68.10,147.85,wilke (grounded),12/18/2020
D15A,51,24,-66.65,81.92,amere (grounded),12/18/2020
D15B,33,12,-66.99,81.57,amere (grounded),12/18/2020
D20A,19,9,-68.65,36.26,amerw (grounded),12/18/2020
D21B,10,4,-61.76,-34.65,belle,12/18/2020
D23,8,6,-69.43,74.66,amere (grounded),12/18/2020
D26,19,2,-69.36,29.40,wedde (grounded),12/18/2020
D27,8,5,-67.68,78.77,amere,12/18/2020
D28,29,19,-65.35,54.72,amerw,12/18/2020
