Iceberg,Date,Latitude,Longitude
c05,1989323,-64.30,98.10
c24,2006086,-64.32,95.99
b15h,2003131,-64.40,100.30
c31,2018276,-64.42,96.32
c21b,2018038,-64.45,95.60
c30,2018299,-64.48,96.18
c37,2023041,-64.50,100.24
d03,1979105,-64.60,78.20
a54b,2006211,-64.65,-56.43
b15s,2009290,-64.65,131.58
c32,2018314,-64.68,134.05
c27,2010024,-64.68,96.73
c11,2000338,-64.69,97.00
c12,1997061,-64.70,97.10
b15m,2007196,-64.73,133.87
c33,2020129,-64.75,134.25
c39,2023230,-64.76,98.39
b40,2016197,-64.80,135.52
c38b,2023055,-64.86,101.92
a32b,1995148,-64.90,-57.70
e09,1995229,-64.98,-57.06
a32,1995141,-65.00,-57.70
d05,1979350,-65.00,130.10
c21,2003068,-65.00,95.80
e17,1999286,-65.13,149.91
e07,1994358,-65.17,54.39
c38a,2022105,-65.17,101.66
c38,2022081,-65.20,101.72
c01,1982339,-65.20,111.60
a38g,2002017,-65.21,-55.75
e06,1992229,-65.27,51.41
e08,1995232,-65.27,54.07
b30b,2019169,-65.27,-131.31
a20,1986208,-65.30,-57.50
c14a,2011254,-65.34,125.38
b30a,2019166,-65.37,-131.79
d12,1997138,-65.37,54.20
a35,1995168,-65.38,53.46
e04,1992136,-65.39,137.36
e19,1999241,-65.39,152.31
a39,2001001,-65.40,-59.40
d02,1978274,-65.51,81.29
d27,2021169,-65.54,52.69
b15ab,2018300,-65.56,51.16
a76c,2023174,-65.57,-60.16
a76b,2023230,-65.57,-59.41
d13,1997040,-65.60,54.40
b46,2023230,-65.61,-151.26
d32,2023146,-65.64,55.49
c28a2,2012274,-65.65,123.87
b15v,2010045,-65.68,55.47
d22,2019207,-65.73,81.57
b34,2017082,-65.73,174.73
c21c,2005212,-65.82,84.47
e16,1999292,-65.84,170.36
d07,1983037,-65.90,87.80
c15,2023146,-65.93,143.19
c28,2010087,-66.00,142.92
a23a,2023230,-66.00,-54.00
d01,1976362,-66.00,62.40
c29,2022203,-66.01,142.91
e21,1997079,-66.10,60.97
a15,1981214,-66.10,-53.80
d15,2014317,-66.11,81.64
d24,2016016,-66.14,57.81
b09b,2023034,-66.17,143.43
d21,2013305,-66.20,85.77
a35a,2000246,-66.23,-55.88
c35,2023034,-66.23,143.10
d25,2016148,-66.25,35.85
e13,1996328,-66.29,-121.19
b14a,2001091,-66.30,178.80
d15a,2018280,-66.34,81.90
c40,2023169,-66.38,109.96
d20a,2023230,-66.38,-52.15
d15b,2018318,-66.40,81.83
a43d,2004074,-66.40,-58.60
