a57b,-66.551,-59.310,99.46
b15g,-65.352,122.309,99.13
a48,-57.190,-35.577,98.81
a56,-51.284,-25.403,98.57
b42,-73.039,-108.151,98.48
c32,-65.310,133.473,97.33
c10,-66.842,70.885,96.93
b15r,-59.307,-16.659,96.14
a32a,-60.327,-51.462,96.02
b15a,-53.179,-150.731,94.13
b31a,-57.766,-64.396,93.35
c28a,-58.938,87.902,93.30
c28a,-58.938,87.902,93.30
a38a,-54.540,-26.319,92.93
a38b,-67.584,-59.437,92.77
a38d,-67.488,-58.071,92.45
b09f,-62.771,-53.218,92.25
b09f,-62.662,-53.020,92.18
a32a,-60.857,-52.800,91.74
b15ab,-69.933,22.202,91.46
a57a,-55.175,-45.950,90.92
c28a,-55.863,85.968,90.82
b15aa,-69.890,4.501,89.64
a38a,-54.057,-27.370,88.38
c28a2,-66.061,123.382,88.34
a43b,-53.983,-39.707,88.10
b15aa,-71.339,-13.722,87.96
a45,-68.840,-58.624,87.77
a43d,-70.885,-58.516,87.66
b15y,-54.460,-42.607,86.77
a22a,-49.426,-35.979,85.63
b43,-72.467,-113.913,85.47
b15g,-66.860,151.360,85.20
a38a,-53.396,-28.054,83.98
c28a,-60.091,87.106,83.76
b09i,-69.770,-1.979,83.63
a34a,-66.261,-58.317,83.58
a43a,-66.261,-58.317,83.58
a38a,-52.734,-18.490,83.43
b15g,-65.358,120.440,83.26
d11,-53.993,-26.710,83.18
a57b,-63.911,-54.447,82.66
b15k,-57.075,-48.220,82.66
b15y,-63.608,-56.525,82.63
a43g,-71.528,-58.292,81.28
a34a,-66.262,-58.348,81.25
a43a,-66.262,-58.348,81.25
a68a,-57.106,-35.671,81.19
b17b,-57.709,86.338,80.41
c28a,-60.571,85.772,80.29
b27,-54.885,-131.665,80.25
a43k,-53.158,-26.723,80.23
b27,-57.188,-140.948,80.01
c20,-50.787,94.816,79.91
a56,-60.883,-53.873,79.84
c18a,-69.709,-0.699,79.82
b15aa,-71.891,-15.350,79.74
b15t,-57.274,-30.324,79.44
c19c,-47.718,-14.135,79.24
