Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-75.69,-39.99,belle,2/26/2021
A63,11,3,-71.07,-55.60,belle,2/26/2021
A64,13,9,-68.90,-60.62,belle,2/26/2021
A68A,29,10,-56.53,-33.12,belle,2/26/2021
A68G,25,3,-56.17,-36.25,belle,2/26/2021
A68H,11,4,-53.55,-36.29,belle,2/26/2021
A68I,4,2,-52.75,-34.63,belle,2/26/2021
A68J,20,3,-55.69,-34.65,belle,2/26/2021
A68M,20,4,-56.78,-34.88,belle,2/26/2021
A68N,8,2,-55.80,-34.48,belle,2/26/2021
A68P,6,2,-55.66,-34.84,belle,2/26/2021
A69A,10,9,-67.94,-61.11,belle,2/26/2021
A69B,10,7,-67.38,-61.15,belle,2/26/2021
A70,8,5,-71.78,-59.47,belle,2/26/2021
A71,8,3,-71.92,-59.69,belle,2/26/2021
A72,3,3,-69.16,-60.68,belle,2/26/2021
A73,9,5,-69.04,-60.17,belle,2/26/2021
B09B,24,8,-66.29,143.44,wilke,2/26/2021
B09G,11,7,-68.00,41.78,amerw,2/26/2021
B09I,12,6,-69.90,-42.52,belle,2/26/2021
B15AB,11,4,-66.04,51.07,amerw (grounded),2/26/2021
B22A,38,24,-73.92,-109.37,amune (grounded),2/26/2021
B28,9,6,-74.67,-108.77,amune (grounded),2/26/2021
B29,11,5,-74.51,-108.91,amune (grounded),2/26/2021
B37,8,3,-72.60,-111.88,amune,2/26/2021
B38,6,4,-76.99,-154.99,rosse,2/26/2021
B39,8,4,-66.73,46.75,amerw,2/26/2021
B40,6,5,-65.66,132.22,wilke (grounded),2/26/2021
B42,12,4,-72.73,-126.55,amunw,2/26/2021
B45,7,6,-74.69,-109.34,amune (grounded),2/26/2021
B46,10,4,-72.51,-112.09,amune,2/26/2021
B47,12,5,-73.80,-133.84,amunw (grounded),2/26/2021
B50,15,6,-74.05,-141.44,amunw,2/26/2021
C15,12,8,-65.98,143.30,wilke,2/26/2021
C18B,19,4,-64.38,96.02,wilkw,2/26/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),2/26/2021
C24,11,2,-64.84,96.02,wilkw (grounded),2/26/2021
C29,5,5,-66.19,143.12,wilke,2/26/2021
C30,9,3,-64.78,96.30,wilkw (grounded),2/26/2021
C31,9,3,-64.69,96.51,wilkw (grounded),2/26/2021
C33,8,4,-65.45,126.78,wilke,2/26/2021
C35,7,5,-68.05,147.85,wilke,2/26/2021
C36,22,15,-67.94,147.48,wilke,2/26/2021
D15A,51,24,-66.64,81.91,amere (grounded),2/26/2021
D15B,33,12,-66.99,81.58,amere (grounded),2/26/2021
D20A,19,9,-68.65,36.26,amerw (grounded),2/26/2021
D21B,10,4,-60.52,-30.79,belle,2/26/2021
D23,8,6,-69.43,74.66,amere (grounded),2/26/2021
D26,19,2,-69.36,29.40,wedde (grounded),2/26/2021
D27,8,5,-68.21,77.42,amere,2/26/2021
D28,29,19,-66.29,48.28,amerw,2/26/2021
