Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-75.78,-40.85,belle,1/8/2021
A63,11,3,-71.66,-54.23,belle,1/8/2021
A64,13,9,-69.58,-60.81,belle (grounded),1/8/2021
A68A,40,24,-56.51,-36.11,belle,1/8/2021
A68D,11,5,-55.40,-36.61,belle,1/8/2021
A68E,33,8,-55.35,-33.86,belle,1/8/2021
A69A,10,9,-68.20,-60.80,belle,1/8/2021
A70,8,5,-72.35,-59.64,belle,1/8/2021
A71,8,3,-72.51,-59.51,belle,1/8/2021
A69B,10,7,-67.61,-61.18,belle,1/8/2021
B09B,24,8,-66.26,143.46,wilke,1/8/2021
B09G,11,7,-67.96,41.68,amerw (grounded),1/8/2021
B09I,12,6,-70.82,-39.91,belle,1/8/2021
B15AB,11,4,-66.03,51.06,amerw (grounded),1/8/2021
B22A,38,24,-73.93,-109.36,amune (grounded),1/8/2021
B28,9,6,-74.67,-108.77,amune (grounded),1/8/2021
B29,11,5,-74.51,-108.91,amune (grounded),1/8/2021
B37,8,3,-72.67,-111.55,amune,1/8/2021
B38,6,4,-77.00,-155.03,rosse (grounded),1/8/2021
B39,8,4,-64.99,53.67,amerw,1/8/2021
B40,6,5,-65.57,132.20,wilke (grounded),1/8/2021
B42,12,4,-72.88,-126.57,amunw (grounded),1/8/2021
B45,7,6,-74.69,-109.34,amune (grounded),1/8/2021
B46,10,4,-72.61,-109.46,amune,1/8/2021
B47,12,5,-73.80,-133.84,amunw (grounded),1/8/2021
B50,15,6,-73.69,-137.79,amunw,1/8/2021
C15,12,8,-65.98,143.30,wilke,1/8/2021
C18B,19,4,-64.39,98.52,wilkw,1/8/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),1/8/2021
C24,11,2,-64.84,96.02,wilkw (grounded),1/8/2021
C29,5,5,-66.14,143.11,wilke,1/8/2021
C30,9,3,-64.78,96.30,wilkw (grounded),1/8/2021
C31,9,3,-64.69,96.51,wilkw (grounded),1/8/2021
C33,8,4,-65.20,128.74,wilke,1/8/2021
C35,7,5,-68.16,147.83,wilke,1/8/2021
C36,22,15,-68.00,147.76,wilke,1/8/2021
D15A,51,24,-66.65,81.92,amere (grounded),1/8/2021
D15B,33,12,-66.99,81.57,amere (grounded),1/8/2021
D20A,19,9,-68.65,36.26,amerw (grounded),1/8/2021
D21B,10,4,-61.56,-33.76,belle,1/8/2021
D23,8,6,-69.43,74.66,amere (grounded),1/8/2021
D26,19,2,-69.36,29.40,wedde (grounded),1/8/2021
D27,8,5,-67.58,78.65,amere,1/8/2021
D28,29,19,-65.35,53.80,amerw,1/8/2021
