Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-75.72,-39.71,belle,2/5/2021
A63,11,3,-71.67,-54.90,belle,2/5/2021
A64,13,9,-69.33,-60.69,belle,2/5/2021
A68A,36,10,-57.27,-34.47,belle,2/5/2021
A68E,26,7,-52.26,-37.64,belle,2/5/2021
A68G,29,4,-56.76,-35.32,belle,2/5/2021
A68H,11,5,-56.03,-35.74,belle,2/5/2021
A68I,19,3,-55.83,-35.27,belle,2/5/2021
A68J,20,5,-57.47,-34.47,belle,2/5/2021
A68K,10,2,-56.99,-35.18,belle,2/5/2021
A68L,13,2,-57.08,-34.34,belle,2/5/2021
A68M,26,6,-56.77,-35.13,belle,2/5/2021
A69A,10,9,-67.92,-61.10,belle,2/5/2021
A69B,10,7,-67.51,-61.12,belle,2/5/2021
A70,8,5,-72.48,-59.64,belle,2/5/2021
A71,8,3,-72.62,-59.58,belle,2/5/2021
A72,11,4,-69.52,-60.79,belle,2/5/2021
A73,9,5,-69.64,-60.36,belle,2/5/2021
B09B,24,8,-66.27,143.45,wilke,2/5/2021
B09G,11,7,-68.01,41.75,amerw (grounded),2/5/2021
B09I,12,6,-70.60,-41.91,belle,2/5/2021
B15AB,11,4,-66.03,51.06,amerw (grounded),2/5/2021
B22A,38,24,-73.92,-109.37,amune (grounded),2/5/2021
B28,9,6,-74.67,-108.77,amune (grounded),2/5/2021
B29,11,5,-74.51,-108.91,amune (grounded),2/5/2021
B37,8,3,-72.67,-111.61,amune,2/5/2021
B38,6,4,-77.00,-155.03,rosse (grounded),2/5/2021
B39,8,4,-65.93,50.14,amerw,2/5/2021
B40,6,5,-65.64,132.18,wilke (grounded),2/5/2021
B42,12,4,-72.79,-126.59,amunw (grounded),2/5/2021
B45,7,6,-74.69,-109.34,amune (grounded),2/5/2021
B46,10,4,-72.63,-110.55,amune,2/5/2021
B47,12,5,-73.80,-133.84,amunw (grounded),2/5/2021
B50,15,6,-73.84,-140.51,amunw,2/5/2021
C15,12,8,-65.98,143.30,wilke,2/5/2021
C18B,19,4,-64.45,98.10,wilkw,2/5/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),2/5/2021
C24,11,2,-64.84,96.02,wilkw (grounded),2/5/2021
C29,5,5,-66.15,143.19,wilke,2/5/2021
C30,9,3,-64.78,96.30,wilkw (grounded),2/5/2021
C31,9,3,-64.69,96.51,wilkw (grounded),2/5/2021
C33,8,4,-65.31,127.22,wilke,2/5/2021
C35,7,5,-68.10,147.71,wilke,2/5/2021
C36,22,15,-67.93,147.52,wilke,2/5/2021
D15A,51,24,-66.65,81.92,amere (grounded),2/5/2021
D15B,33,12,-66.99,81.57,amere (grounded),2/5/2021
D20A,19,9,-68.65,36.26,amerw (grounded),2/5/2021
D21B,10,4,-60.69,-32.97,belle,2/5/2021
D23,8,6,-69.43,74.66,amere (grounded),2/5/2021
D26,19,2,-69.36,29.40,wedde (grounded),2/5/2021
D27,8,5,-67.72,78.31,amere,2/5/2021
D28,29,19,-65.55,51.61,amerw,2/5/2021
