Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-75.73,-39.67,belle,1/29/2021
A63,11,3,-71.62,-54.72,belle,1/29/2021
A64,13,9,-69.36,-60.69,belle,1/29/2021
A68A,36,13,-56.39,-35.90,belle,1/29/2021
A68D,7,2,-55.24,-34.93,belle,1/29/2021
A68E,33,8,-52.90,-35.79,belle,1/29/2021
A68G,29,10,-56.58,-35.71,belle,1/29/2021
A68H,11,5,-56.21,-35.54,belle,1/29/2021
A68I,19,3,-56.28,-35.50,belle,1/29/2021
A69A,10,9,-67.95,-61.08,belle,1/29/2021
A69B,10,7,-67.50,-61.09,belle,1/29/2021
A70,8,5,-72.45,-59.49,belle,1/29/2021
A71,8,3,-72.59,-59.48,belle,1/29/2021
A72,11,4,-69.56,-60.80,belle,1/29/2021
A73,9,5,-69.69,-60.51,belle,1/29/2021
B09B,24,8,-66.27,143.37,wilke,1/29/2021
B09G,11,7,-67.97,41.70,amerw (grounded),1/29/2021
B09I,12,6,-70.66,-41.36,belle,1/29/2021
B15AB,11,4,-66.03,51.06,amerw (grounded),1/29/2021
B22A,38,24,-73.92,-109.37,amune (grounded),1/29/2021
B28,9,6,-74.67,-108.77,amune (grounded),1/29/2021
B29,11,5,-74.51,-108.91,amune (grounded),1/29/2021
B37,8,3,-72.67,-111.61,amune,1/29/2021
B38,6,4,-77.00,-155.03,rosse (grounded),1/29/2021
B39,8,4,-65.68,50.85,amerw,1/29/2021
B40,6,5,-65.59,132.23,wilke (grounded),1/29/2021
B42,12,4,-72.80,-126.51,amunw (grounded),1/29/2021
B45,7,6,-74.69,-109.34,amune (grounded),1/29/2021
B46,10,4,-72.64,-110.41,amune,1/29/2021
B47,12,5,-73.80,-133.84,amunw (grounded),1/29/2021
B50,15,6,-73.80,-139.64,amunw,1/29/2021
C15,12,8,-65.98,143.30,wilke,1/29/2021
C18B,19,4,-64.47,98.34,wilkw,1/29/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),1/29/2021
C24,11,2,-64.84,96.02,wilkw (grounded),1/29/2021
C29,5,5,-66.15,143.11,wilke,1/29/2021
C30,9,3,-64.78,96.30,wilkw (grounded),1/29/2021
C31,9,3,-64.69,96.51,wilkw (grounded),1/29/2021
C33,8,4,-65.18,127.56,wilke,1/29/2021
C35,7,5,-68.10,147.72,wilke,1/29/2021
C36,22,15,-67.92,147.54,wilke,1/29/2021
D15A,51,24,-66.65,81.92,amere (grounded),1/29/2021
D15B,33,12,-66.99,81.57,amere (grounded),1/29/2021
D20A,19,9,-68.65,36.26,amerw (grounded),1/29/2021
D21B,10,4,-60.80,-33.42,belle,1/29/2021
D23,8,6,-69.43,74.66,amere (grounded),1/29/2021
D26,19,2,-69.36,29.40,wedde (grounded),1/29/2021
D27,8,5,-67.70,78.32,amere,1/29/2021
D28,29,19,-65.52,52.19,amerw,1/29/2021
