date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,size_1,size_2
1994226,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994227,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994228,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994229,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994230,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994231,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994232,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994233,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994234,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994235,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994236,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994237,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994238,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994239,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994240,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994241,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994242,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994243,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994244,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994245,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994246,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994247,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994248,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994249,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994250,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994251,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994252,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994253,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994254,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994255,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994256,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994257,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994258,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994259,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
