date,qscat_1,qscat_2,qscat_3
2005131,-64.583,104.3302,1
2005132,-64.5999,103.987,1
2005133,-64.693,103.5132,1
2005134,-64.7633,102.7888,1
2005135,-64.7846,102.5664,1
2005136,-64.7846,102.5664,1
2005137,-64.6894,102.2333,1
2005138,-64.5988,101.6875,1
2005139,-64.5988,101.6875,1
2005140,-64.5838,101.462,1
2005141,-64.5699,101.2697,1
2005142,-64.5699,101.2697,1
2005143,-64.565,101.2281,1
2005144,-64.5566,101.0803,1
2005145,-64.4654,100.8032,1
2005146,-64.4819,100.6767,1
2005147,-64.4645,100.5579,0
2005148,-64.422,100.4429,0
2005149,-64.3687,100.3325,0
2005150,-64.319,100.2275,1
2005151,-64.274,100.1314,1
2005152,-64.2438,100.0566,0
2005153,-64.2138,99.9915,1
2005154,-64.1701,99.9331,1
2005155,-64.1024,99.9246,0
2005156,-64.0589,99.9147,1
2005157,-64.0809,99.564,1
2005158,-64.0809,99.564,1
