date,ers_1,ers_2,ers_3
1998229,-75.9421,-158.2466,1
1998230,-75.9864,-158.8199,1
1998231,-76.0307,-159.3931,1
1998232,-76.0528,-159.6797,1
1998233,-76.0528,-159.6797,1
1998234,-76.0528,-159.6797,1
1998235,-76.0528,-160.0657,1
1998236,-76.0526,-160.8377,1
1998237,-76.0525,-161.6097,1
1998238,-76.0214,-162.1438,1
1998239,-75.9592,-162.44,1
1998240,-75.897,-162.7362,1
1998241,-75.8781,-163.203,1
1998242,-75.9025,-163.8403,1
1998243,-75.9269,-164.4776,1
1998244,-75.9391,-164.7963,1
1998245,-75.9391,-164.7963,1
1998246,-75.9391,-164.7963,1
1998247,-75.9517,-164.9105,1
1998248,-75.977,-165.1388,1
1998249,-76.0023,-165.3672,1
1998250,-76.0005,-165.5896,1
1998251,-75.9716,-165.8059,1
1998252,-75.9428,-166.0222,1
1998253,-75.9127,-166.4727,1
1998254,-75.8813,-167.1576,1
1998255,-75.8499,-167.8424,1
1998256,-75.8252,-168.4224,1
1998257,-75.8071,-168.8978,1
1998258,-75.789,-169.3731,1
1998259,-75.7666,-169.7376,1
1998260,-75.7399,-169.9914,1
1998261,-75.7132,-170.2453,1
1998262,-75.6835,-170.3894,1
1998263,-75.6509,-170.4239,1
1998264,-75.6183,-170.4583,1
1998265,-75.5686,-170.4977,1
1998266,-75.5018,-170.5421,1
1998267,-75.435,-170.5865,1
1998268,-75.376,-170.6051,1
1998269,-75.3246,-170.5979,1
1998270,-75.2733,-170.5907,1
1998271,-75.2126,-170.5696,1
1998272,-75.1425,-170.5348,1
1998273,-75.0725,-170.4999,1
1998274,-75.0162,-170.4634,1
1998275,-74.9739,-170.4254,1
1998276,-74.9316,-170.3874,1
1998277,-74.8848,-170.333,1
1998278,-74.8337,-170.2621,1
1998279,-74.7826,-170.1912,1
1998280,-74.7275,-170.2207,1
1998281,-74.6684,-170.3504,1
1998282,-74.6093,-170.4802,1
1998283,-74.5621,-170.4915,1
1998284,-74.5269,-170.3843,1
1998285,-74.4918,-170.277,1
1998286,-74.4436,-170.1925,1
1998287,-74.3825,-170.1306,1
1998288,-74.3214,-170.0687,1
1998289,-74.267,-170.0032,1
1998290,-74.2193,-169.9339,1
1998291,-74.1716,-169.8646,1
1998292,-74.1475,-169.8934,1
1998293,-74.147,-170.0203,1
1998294,-74.1464,-170.1472,1
1998295,-74.1341,-170.3616,1
1998296,-74.1102,-170.6633,1
1998297,-74.0863,-170.965,1
1998298,-74.0648,-171.2133,1
1998299,-74.0456,-171.4083,1
1998300,-74.0266,-171.6033,1
1998301,-74.017,-171.7008,1
1998302,-74.017,-171.7008,1
1998303,-74.017,-171.7008,1
1998304,-73.9866,-171.7957,1
1998305,-73.9259,-171.9855,1
1998306,-73.8652,-172.1752,1
1998307,-73.8021,-172.3457,1
1998308,-73.7366,-172.4968,1
1998309,-73.6711,-172.6479,1
1998310,-73.6096,-172.6761,1
1998311,-73.552,-172.5815,1
1998312,-73.4943,-172.4869,1
1998313,-73.4387,-172.4468,1
1998314,-73.3851,-172.4611,1
1998315,-73.3315,-172.4753,1
1998316,-73.2975,-172.468,1
1998317,-73.2832,-172.4391,1
1998318,-73.2689,-172.4102,1
1998319,-73.2617,-172.3957,1
1998320,-73.2617,-172.3957,1
1998321,-73.2617,-172.3957,1
1998322,-73.2434,-172.4041,1
1998323,-73.2067,-172.421,1
1998324,-73.1701,-172.4379,1
1998325,-73.1372,-172.4179,1
1998326,-73.1079,-172.3611,1
1998327,-73.0786,-172.3043,1
1998328,-73.064,-172.2759,1
1998329,-73.064,-172.2759,1
1998330,-73.064,-172.2759,1
1998331,-73.0379,-172.3462,1
1998332,-72.9856,-172.4867,1
1998333,-72.9333,-172.6272,1
1998334,-72.8821,-172.7478,1
1998335,-72.8317,-172.8485,1
1998336,-72.7814,-172.9491,1
1998337,-72.7347,-173.0083,1
1998338,-72.6916,-173.026,1
1998339,-72.6485,-173.0437,1
1998340,-72.626,-172.9334,1
1998341,-72.6241,-172.6952,1
1998342,-72.6222,-172.4571,1
1998343,-72.6196,-172.2995,1
1998344,-72.6165,-172.2226,1
1998345,-72.6133,-172.1457,1
1998346,-72.6197,-172.178,1
1998347,-72.6356,-172.3197,1
1998348,-72.6515,-172.4614,1
1998349,-72.6448,-172.5947,1
1998350,-72.6154,-172.7197,1
1998351,-72.5859,-172.8446,1
1998352,-72.5595,-172.9568,1
1998353,-72.5361,-173.0561,1
1998354,-72.5128,-173.1554,1
1998355,-72.4914,-173.1692,1
1998356,-72.472,-173.0974,1
1998357,-72.4527,-173.0256,1
1998358,-72.418,-172.9555,1
1998359,-72.368,-172.887,1
1998360,-72.3181,-172.8186,1
1998361,-72.2931,-172.7844,1
1998362,-72.2949,-172.8733,1
1998363,-72.2985,-173.0511,1
1998364,-72.3021,-173.2289,1
1998365,-72.3333,-173.5469,0
1999001,-72.3851,-173.9189,1
1999002,-72.3853,-173.9199,1
1999003,-72.3854,-173.9208,1
1999004,-72.3854,-173.9208,1
1999005,-72.3854,-173.9208,1
1999006,-72.3854,-173.9208,1
1999007,-72.3854,-173.9208,1
1999008,-72.3854,-173.9208,1
1999009,-72.3854,-173.9208,1
1999010,-72.3854,-173.9208,1
1999011,-72.3854,-173.9208,1
1999012,-72.3854,-173.9208,1
1999013,-72.3854,-173.9208,1
1999014,-72.3854,-173.9208,1
1999015,-72.3854,-173.9208,1
1999016,-72.3581,-173.9186,1
1999017,-72.3036,-173.9141,1
1999018,-72.249,-173.9095,1
1999019,-72.1956,-173.9328,1
1999020,-72.1435,-173.9839,1
1999021,-72.0913,-174.035,1
1999022,-72.0652,-174.0605,1
1999023,-72.0652,-174.0605,1
1999024,-72.0652,-174.0605,1
1999025,-72.0296,-174.105,1
1999026,-71.9583,-174.1938,1
1999027,-71.8871,-174.2828,1
1999028,-71.838,-174.3744,1
1999029,-71.811,-174.4687,1
1999030,-71.784,-174.563,1
1999031,-71.7705,-174.6102,1
1999032,-71.7705,-174.6102,1
1999033,-71.7705,-174.6102,1
