date,sass_1,sass_2,sass_3
1978252,-75.96,-31.37,1
1978253,-75.96,-31.37,1
1978254,-75.96,-31.37,1
1978255,-75.96,-31.37,1
1978256,-75.96,-31.37,1
1978257,-75.96,-31.37,1
1978258,-75.8949,-31.3155,1
1978259,-75.7646,-31.2065,1
1978260,-75.6343,-31.0975,1
1978261,-75.504,-30.9885,1
1978262,-75.3737,-30.8795,1
1978263,-75.2434,-30.7705,1
1978264,-75.1925,-30.7728,1
1978265,-75.2208,-30.8864,1
1978266,-75.2491,-31,1
1978267,-75.2774,-31.1137,1
1978268,-75.3057,-31.2273,1
1978269,-75.334,-31.3409,1
1978270,-75.3482,-31.3977,1
1978271,-75.3482,-31.3977,1
1978272,-75.3482,-31.3977,1
1978273,-75.3482,-31.3977,1
1978274,-75.3482,-31.3977,1
1978275,-75.3482,-31.3977,1
