date,qscat_1,qscat_2,qscat_3
2007079,-76.0249,-45.8448,1
2007080,-76.0249,-45.8448,1
2007081,-75.991,-46.5027,1
2007082,-75.9169,-46.6471,1
2007083,-75.896,-46.9135,1
2007084,-75.8463,-46.6149,1
2007085,-75.7982,-46.3514,1
2007086,-75.7982,-46.3514,1
2007087,-75.8811,-46.7723,1
2007088,-75.8786,-47.3369,1
2007089,-75.9043,-47.7438,1
2007090,-75.976,-47.9263,1
2007091,-75.976,-47.9263,1
2007092,-75.976,-47.9263,1
2007093,-75.976,-47.9263,1
2007094,-75.976,-47.9263,1
2007095,-75.9525,-48.2846,1
2007096,-76.0142,-48.7458,1
2007097,-76.0142,-48.7458,1
2007098,-76.0207,-49.8503,1
2007099,-75.9355,-49.9184,1
2007100,-75.8711,-49.9237,1
2007101,-75.8711,-49.9237,1
2007102,-75.8198,-49.6563,1
2007103,-75.7661,-49.4664,1
2007104,-75.7503,-49.2589,1
2007105,-75.7503,-49.2589,1
2007106,-75.7503,-49.2589,1
2007107,-75.6817,-49.3386,1
2007108,-75.5077,-49.1625,1
2007109,-75.4526,-48.9425,1
2007110,-75.5061,-48.6652,1
2007111,-75.4685,-48.5202,1
2007112,-75.3958,-48.4486,1
2007113,-75.3958,-48.4486,1
2007114,-75.3958,-48.4486,1
2007115,-75.3279,-48.1977,1
2007116,-75.2776,-48.2898,1
2007117,-75.2135,-48.2402,1
2007118,-75.1793,-48.2032,1
2007119,-75.131,-48.0491,1
2007120,-74.976,-47.9967,1
2007121,-74.8085,-47.562,1
2007122,-74.7141,-47.4515,1
2007123,-74.7141,-47.4515,1
2007124,-74.6812,-47.4233,1
2007125,-74.6019,-47.3286,1
2007126,-74.5467,-47.2103,1
2007127,-74.4153,-47.1411,1
2007128,-74.2942,-47.1547,1
2007129,-74.2942,-47.1547,1
2007130,-74.2942,-47.1547,1
2007131,-74.2397,-47.2549,1
2007132,-74.2397,-47.2549,1
2007133,-74.2397,-47.2549,1
2007134,-74.1916,-47.105,1
2007135,-74.1916,-47.105,1
2007136,-74.2686,-47.1235,1
2007137,-74.1553,-47.5448,1
2007138,-73.9177,-47.8102,1
2007139,-73.6888,-47.8614,1
2007140,-73.5681,-47.6761,1
2007141,-73.5681,-47.6761,1
2007142,-73.5108,-47.3341,1
2007143,-73.4861,-47.1905,1
2007144,-73.4861,-47.1905,1
2007145,-73.3917,-47.0521,1
2007146,-73.2854,-46.9685,1
2007147,-73.2249,-46.7825,1
2007148,-73.1009,-46.7535,1
2007149,-73.1009,-46.7535,1
2007150,-73.1009,-46.7535,1
2007151,-73.2492,-46.7977,1
2007152,-73.3162,-46.852,1
2007153,-73.3162,-46.852,0
2007154,-73.3162,-46.852,1
2007155,-73.2557,-47.284,1
2007156,-73.2187,-47.4919,1
2007157,-73.2187,-47.4919,1
2007158,-73.1157,-47.4664,1
2007159,-73.0903,-47.5655,1
2007160,-73.0243,-47.576,1
2007161,-72.961,-47.4898,1
2007162,-72.9217,-47.3337,1
2007163,-72.9217,-47.3337,1
2007164,-73.0086,-47.1231,1
2007165,-73.1095,-46.9941,1
2007166,-73.2308,-47.1434,1
2007167,-73.2308,-47.1434,1
2007168,-73.3128,-47.2507,1
2007169,-73.3128,-47.2507,1
2007170,-73.2834,-47.4756,1
2007171,-73.2834,-47.4756,1
2007172,-73.2834,-47.4756,1
2007173,-73.3491,-47.7104,1
2007174,-73.3058,-47.873,1
2007175,-73.3058,-47.873,1
2007176,-73.3058,-47.873,1
2007177,-73.2434,-47.6729,1
2007178,-73.265,-47.3747,1
2007179,-73.3126,-47.1363,1
2007180,-73.2876,-47.1717,1
2007181,-73.2876,-47.1717,1
2007182,-73.1859,-46.9491,1
2007183,-73.1859,-46.9491,1
2007184,-73.2352,-47.0194,1
2007185,-73.3276,-47.2082,1
2007186,-73.3276,-47.2082,1
2007187,-73.2641,-47.1376,1
2007188,-73.2641,-47.1376,1
2007189,-73.283,-47.0411,1
2007190,-73.283,-47.0411,1
2007191,-73.3144,-46.8938,1
2007192,-73.2392,-46.6853,1
