date,qscat_1,qscat_2,qscat_3
2000291,-74.2642,-59.4192,1
2000292,-74.254,-59.3651,1
2000293,-74.2368,-59.4006,1
2000294,-74.2182,-59.2687,1
2000295,-74.216,-59.2655,1
2000296,-74.1728,-59.2816,1
2000297,-74.2319,-59.4895,1
2000298,-74.233,-59.493,1
2000299,-74.2258,-59.5945,1
2000300,-74.2516,-59.623,1
2000301,-74.2516,-59.623,1
2000302,-74.1905,-59.4724,1
2000303,-74.1905,-59.4724,1
2000304,-74.1905,-59.4724,1
2000305,-74.1905,-59.4724,1
2000306,-74.1799,-59.3675,1
2000307,-74.1799,-59.3675,1
2000308,-74.1846,-59.6721,1
2000309,-74.1846,-59.6721,1
2000310,-74.1846,-59.6721,1
2000311,-74.1371,-59.5021,1
2000312,-74.1371,-59.5021,1
2000313,-74.1867,-59.4616,1
2000314,-74.1867,-59.4616,1
2000315,-74.1867,-59.4616,1
2000316,-74.1867,-59.4616,1
2000317,-74.1157,-59.5177,1
2000318,-74.0938,-59.4148,1
2000319,-74.0938,-59.4148,1
2000320,-74.0938,-59.4148,1
2000321,-74.0938,-59.4148,1
2000322,-74.0731,-59.3419,0
2000323,-74.0524,-59.269,1
2000324,-74.0524,-59.269,1
2000325,-74.0524,-59.269,1
2000326,-74.0524,-59.269,1
2000327,-74.0524,-59.269,1
2000328,-74.0524,-59.269,1
2000329,-74.0524,-59.269,1
2000330,-74.0638,-59.4283,1
2000331,-74.0638,-59.4283,1
2000332,-74.0638,-59.4283,1
2000333,-74.0195,-59.2113,1
2000334,-73.9856,-59.2015,1
2000335,-73.9856,-59.2015,1
2000336,-73.9735,-59.2709,1
2000337,-73.8779,-59.0494,1
2000338,-73.8779,-59.0494,1
2000339,-73.8779,-59.0494,1
2000340,-74.1277,-59.9945,1
2000341,-74.1277,-59.9945,1
2000342,-74.1643,-60.0157,1
2000343,-74.1546,-60.0246,1
2000344,-74.1704,-59.9873,1
2000345,-74.1525,-60.0213,1
2000346,-74.1618,-59.9262,1
2000347,-74.1618,-59.9262,1
2000348,-74.1295,-60.1566,1
2000349,-74.1355,-59.9006,1
2000350,-74.1355,-59.9006,1
2000351,-74.1367,-60.0584,1
2000352,-74.1367,-60.0584,1
2000353,-74.132,-60.1456,1
2000354,-74.132,-60.1456,1
2000355,-74.2186,-59.8598,1
2000356,-74.1349,-59.6243,1
2000357,-74.1425,-59.6818,1
2000358,-74.1177,-59.8086,1
2000359,-74.0923,-59.7927,1
2000360,-74.0566,-59.6986,1
2000361,-74.0753,-59.8288,1
2000362,-74.0753,-59.8288,1
2000363,-74.0477,-59.8023,1
2000364,-74.0481,-59.8014,1
2000365,-74.032,-59.8395,1
2000366,-74.0106,-59.8712,1
2001001,-73.9973,-59.9106,1
2001002,-74.0063,-59.9704,1
2001003,-73.9981,-59.909,1
2001004,-74.0134,-59.869,1
2001005,-74.0225,-59.9326,1
2001006,-74.029,-59.8342,1
2001007,-74.0059,-59.8156,1
2001008,-74.0059,-59.8156,1
2001009,-74.0048,-59.8122,1
2001010,-74.0048,-59.8122,1
2001011,-74.0048,-59.8122,1
2001012,-74.0048,-59.8122,1
2001013,-74.0048,-59.8122,1
2001014,-74.0048,-59.8122,1
2001015,-74.0091,-59.7968,1
2001016,-74.0165,-59.818,1
2001017,-74.0165,-59.818,1
2001018,-74.0086,-59.8569,1
2001019,-74.005,-59.8422,1
2001020,-74.0032,-59.8982,1
2001021,-74.0193,-59.8721,1
2001022,-74.0193,-59.8721,1
2001023,-74.0193,-59.8721,1
2001024,-74.0193,-59.8721,1
2001025,-74.0193,-59.8721,1
2001026,-74.0193,-59.8721,1
2001027,-74.0193,-59.8721,1
2001028,-74.0193,-59.8721,1
2001029,-74.0193,-59.8721,1
2001030,-73.9464,-59.9298,1
2001031,-73.9464,-59.9298,1
2001032,-73.9464,-59.9298,1
2001033,-73.9464,-59.9298,1
2001034,-73.9464,-59.9298,1
2001035,-73.9464,-59.9298,1
2001036,-73.9464,-59.9298,1
2001037,-73.9464,-59.9298,1
2001038,-73.9464,-59.9298,1
2001039,-73.9464,-59.9298,1
2001040,-73.9464,-59.9298,1
2001041,-73.9464,-59.9298,1
2001042,-73.9464,-59.9298,1
2001043,-73.9464,-59.9298,1
2001044,-73.9464,-59.9298,1
2001045,-73.9464,-59.9298,1
2001046,-73.9464,-59.9298,1
2001047,-73.9464,-59.9298,1
2001048,-73.9464,-59.9298,1
2001049,-73.9464,-59.9298,1
2001050,-73.9464,-59.9298,1
2001051,-73.9464,-59.9298,1
2001052,-73.9464,-59.9298,1
2001053,-73.9464,-59.9298,1
2001054,-73.9464,-59.9298,1
2001055,-73.9464,-59.9298,1
2001056,-73.9464,-59.9298,1
2001057,-73.9464,-59.9298,1
2001058,-73.9464,-59.9298,1
2001059,-73.9518,-59.6269,1
2001060,-73.9518,-59.6269,1
2001061,-73.9518,-59.6269,1
2001062,-73.9518,-59.6269,1
2001063,-73.9518,-59.6269,1
2001064,-73.9518,-59.6269,1
2001065,-73.9518,-59.6269,1
2001066,-73.9518,-59.6269,1
2001067,-73.9518,-59.6269,1
2001068,-73.9518,-59.6269,1
2001069,-73.9468,-59.4909,1
2001070,-73.9468,-59.4909,1
2001071,-73.9468,-59.4909,1
2001072,-73.9468,-59.4909,1
2001073,-73.7447,-59.3909,1
2001074,-73.7447,-59.3909,1
2001075,-73.7447,-59.3909,1
2001076,-73.7447,-59.3909,1
2001077,-73.7447,-59.3909,1
2001078,-73.5462,-59.2896,1
2001079,-73.5462,-59.2896,1
2001080,-73.5462,-59.2896,1
2001081,-73.5462,-59.2896,1
2001082,-73.5462,-59.2896,1
2001083,-73.5462,-59.2896,1
2001084,-73.5462,-59.2896,1
2001085,-73.4699,-59.2661,1
2001086,-73.451,-59.0477,1
2001087,-73.451,-59.0477,1
2001088,-73.451,-59.0477,1
2001089,-73.451,-59.0477,1
2001090,-73.451,-59.0477,1
2001091,-73.451,-59.0477,1
2001092,-73.27,-59.0263,1
2001093,-73.27,-59.0263,1
2001094,-73.27,-59.0263,1
2001095,-73.27,-59.0263,1
2001096,-73.27,-59.0263,1
2001097,-73.27,-59.0263,1
2001098,-73.1639,-59.0552,1
2001099,-73.1639,-59.0552,1
2001100,-73.1639,-59.0552,1
2001101,-73.1639,-59.0552,1
2001102,-73.1639,-59.0552,1
2001103,-73.1274,-58.8577,1
2001104,-73.1274,-58.8577,1
2001105,-73.1274,-58.8577,1
2001106,-73.113,-58.6754,1
2001107,-73.113,-58.6754,1
2001108,-73.113,-58.6754,1
2001109,-73.113,-58.6754,1
2001110,-73.113,-58.6754,1
2001111,-73.0559,-58.5218,1
2001112,-73.0559,-58.5218,1
2001113,-73.0559,-58.5218,1
2001114,-73.0186,-58.2966,1
2001115,-73.0186,-58.2966,1
2001116,-73.0186,-58.2966,1
2001117,-73.0186,-58.2966,1
2001118,-72.9867,-58.0713,1
2001119,-72.9867,-58.0713,1
2001120,-72.9867,-58.0713,1
2001121,-72.9152,-57.8285,1
2001122,-72.9152,-57.8285,1
2001123,-72.9152,-57.8285,1
2001124,-72.8334,-57.6613,1
2001125,-72.8334,-57.6613,1
2001126,-72.8334,-57.6613,1
2001127,-72.8334,-57.6613,1
2001128,-72.7773,-57.5205,1
2001129,-72.8259,-57.2604,1
2001130,-72.8259,-57.2604,1
2001131,-72.8174,-57.279,0
2001132,-72.7971,-57.3233,0
2001133,-72.773,-57.3763,0
2001134,-72.7527,-57.4206,0
2001135,-72.7442,-57.4392,1
