date,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3
2003065,-65.23,-56.9,1,0,0,0
2003066,-65.23,-56.9,1,0,0,0
2003067,-65.23,-56.9,1,0,0,0
2003068,-65.1989,-56.9287,1,0,0,0
2003069,-65.1989,-56.9287,1,0,0,0
2003070,-65.1989,-56.9287,1,0,0,0
2003071,-65.225,-57.0779,1,0,0,0
2003072,-65.225,-57.0779,1,0,0,0
2003073,-65.2614,-57.168,1,0,0,0
2003074,-65.2614,-57.168,1,0,0,0
2003075,-65.2614,-57.168,1,0,0,0
2003076,-65.2614,-57.168,1,0,0,0
2003077,-65.2614,-57.168,1,0,0,0
2003078,-65.2798,-57.1172,1,0,0,0
2003079,-65.2513,-57.0559,1,0,0,0
2003080,-65.2513,-57.0559,1,0,0,0
2003081,-65.2283,-56.8954,1,0,0,0
2003082,-65.2283,-56.8954,1,0,0,0
2003083,-65.2262,-56.8019,1,0,0,0
2003084,-65.2262,-56.8019,1,0,0,0
2003085,-65.2784,-56.7775,1,0,0,0
2003086,-65.2784,-56.7775,1,0,0,0
2003087,-65.2784,-56.7775,1,0,0,0
2003088,-65.2784,-56.7775,1,0,0,0
2003089,-65.2784,-56.7775,1,0,0,0
2003090,-65.2648,-56.5369,1,0,0,0
2003091,-65.2648,-56.5369,1,0,0,0
2003092,-65.2557,-56.6873,1,0,0,0
2003093,-65.2557,-56.6873,1,0,0,0
2003094,-65.2557,-56.6873,1,0,0,0
2003095,-65.2557,-56.6873,1,0,0,0
2003096,-65.2557,-56.6873,1,0,0,0
2003097,-65.2557,-56.6873,1,0,0,0
2003098,-65.2546,-56.8221,1,0,0,0
2003099,-65.3161,-56.8943,1,0,0,0
2003100,-65.3161,-56.8943,1,0,0,0
2003101,-65.3161,-56.8943,1,0,0,0
2003102,-65.3161,-56.8943,1,0,0,0
2003103,-65.3161,-56.8943,1,0,0,0
2003104,-65.2741,-56.9583,1,0,0,0
2003105,-65.2741,-56.9583,1,0,0,0
2003106,-65.2748,-56.8728,1,0,0,0
2003107,-65.2748,-56.8728,1,0,0,0
2003108,-65.2748,-56.8728,1,0,0,0
2003109,-65.2748,-56.8728,1,0,0,0
2003110,-65.2748,-56.8728,1,0,0,0
2003111,-65.2748,-56.8728,1,0,0,0
2003112,-65.2748,-56.8728,1,0,0,0
2003113,-65.2748,-56.8728,1,0,0,0
2003114,-65.2748,-56.8728,1,-65.2748,-56.8728,1
2003115,-65.2748,-56.8728,1,-65.2748,-56.8728,1
2003116,-65.2895,-56.9706,1,-65.2895,-56.9706,1
2003117,-65.2636,-57.0592,1,-65.2636,-57.0592,1
2003118,-65.2383,-56.9432,1,-65.2383,-56.9432,1
2003119,-65.2383,-56.9432,1,-65.2383,-56.9432,1
2003120,-65.2383,-56.9432,1,-65.2383,-56.9432,1
2003121,-65.225,-57.1546,1,-65.225,-57.1546,1
2003122,-65.225,-57.1546,1,-65.225,-57.1546,1
2003123,-65.225,-57.1546,1,-65.225,-57.1546,1
2003124,-65.225,-57.1546,1,-65.225,-57.1546,1
2003125,-65.1527,-56.9841,1,-65.1527,-56.9841,1
2003126,-65.1527,-56.9841,1,-65.1527,-56.9841,1
2003127,-65.1527,-56.9841,1,-65.1527,-56.9841,1
2003128,-65.1085,-57.0053,1,-65.1085,-57.0053,1
2003129,-65.0634,-56.9146,1,-65.0634,-56.9146,1
2003130,-65.0634,-56.9146,1,-65.0634,-56.9146,1
2003131,-65.0634,-56.9146,1,-65.0634,-56.9146,1
2003132,-65.0634,-56.9146,1,-65.0634,-56.9146,1
2003133,-65.0687,-56.6978,1,-65.0687,-56.6978,1
2003134,-65.0687,-56.6978,1,-65.0687,-56.6978,1
2003135,-65.1052,-56.6075,1,-65.1052,-56.6075,1
2003136,-65.031,-56.4709,1,-65.031,-56.4709,1
2003137,-65.0181,-56.2759,1,-65.0181,-56.2759,1
2003138,-65.0181,-56.2759,1,-65.0181,-56.2759,1
2003139,-65.0181,-56.2759,1,-65.0181,-56.2759,1
2003140,-65.0181,-56.2759,1,-65.0181,-56.2759,1
2003141,-65.0181,-56.2759,1,-65.0181,-56.2759,1
2003142,-65.0181,-56.2759,1,-65.0181,-56.2759,1
2003143,-65.0181,-56.2759,1,-65.0181,-56.2759,1
2003144,-64.9187,-56.1049,1,-64.9187,-56.1049,1
2003145,-64.9187,-56.1049,1,-64.9187,-56.1049,1
2003146,-64.9187,-56.1049,1,-64.9187,-56.1049,1
2003147,-64.9187,-56.1049,1,-64.9187,-56.1049,1
2003148,-64.9187,-56.1049,1,-64.9187,-56.1049,1
2003149,-64.9516,-55.8232,1,-64.9516,-55.8232,1
2003150,-64.9544,-55.7216,1,-64.9544,-55.7216,1
2003151,-64.9544,-55.7216,1,-64.9544,-55.7216,1
2003152,-64.9544,-55.7216,1,-64.9544,-55.7216,1
2003153,-64.9544,-55.7216,1,-64.9544,-55.7216,1
2003154,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003155,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003156,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003157,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003158,-65.0001,-55.3442,1,-65.0001,-55.3442,0
2003159,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003160,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003161,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003162,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003163,-65.0001,-55.3442,1,-65.0001,-55.3442,1
2003164,-65.0001,-55.3442,1,-65.0001,-55.3442,1
