date,ers_1,ers_2,ers_3
1997232,-76.74,-160.3,1
1997233,-76.74,-160.3,1
1997234,-76.74,-160.3,1
1997235,-76.7187,-160.4335,1
1997236,-76.6761,-160.7005,1
1997237,-76.6335,-160.9675,1
1997238,-76.6039,-161.2128,1
1997239,-76.5872,-161.4364,1
1997240,-76.5704,-161.66,1
1997241,-76.5538,-161.8836,1
1997242,-76.537,-162.1072,1
1997243,-76.5203,-162.3308,1
1997244,-76.4905,-162.5835,1
1997245,-76.4474,-162.8653,1
1997246,-76.4043,-163.1471,1
1997247,-76.3558,-163.3061,1
1997248,-76.302,-163.3424,1
1997249,-76.2481,-163.3786,1
1997250,-76.2212,-163.3967,1
1997251,-76.2212,-163.3967,1
1997252,-76.2212,-163.3967,1
1997253,-76.2212,-163.3967,1
1997254,-76.2212,-163.3967,1
1997255,-76.2212,-163.3967,1
1997256,-76.2212,-163.3967,1
1997257,-76.2212,-163.3967,1
1997258,-76.2212,-163.3967,1
1997259,-76.196,-163.8448,1
1997260,-76.1457,-164.7409,1
1997261,-76.0954,-165.637,1
1997262,-76.0703,-166.0851,1
1997263,-76.0703,-166.0851,1
1997264,-76.0703,-166.0851,1
1997265,-76.0426,-166.2965,1
1997266,-75.9873,-166.7194,1
1997267,-75.932,-167.1422,1
1997268,-75.8919,-167.7248,1
1997269,-75.8671,-168.4673,1
1997270,-75.8422,-169.2098,1
1997271,-75.8291,-169.7195,1
1997272,-75.8277,-169.9964,1
1997273,-75.8263,-170.2733,1
1997274,-75.8207,-170.5476,1
1997275,-75.8107,-170.8191,1
1997276,-75.8008,-171.0907,1
1997277,-75.7776,-171.3824,1
1997278,-75.7409,-171.6943,1
1997279,-75.7042,-172.0062,1
1997280,-75.6707,-172.3829,1
1997281,-75.6405,-172.8245,1
1997282,-75.6102,-173.266,1
1997283,-75.5841,-173.5858,1
1997284,-75.5624,-173.7838,1
1997285,-75.5406,-173.9818,1
1997286,-75.5037,-174.1987,1
1997287,-75.4517,-174.4344,1
1997288,-75.3997,-174.6702,1
1997289,-75.3606,-174.8792,1
1997290,-75.3346,-175.0614,1
1997291,-75.3084,-175.2436,1
1997292,-75.2847,-175.4841,1
1997293,-75.2633,-175.7829,1
1997294,-75.2419,-176.0818,1
1997295,-75.21,-176.401,1
1997296,-75.1676,-176.7407,1
1997297,-75.1251,-177.0804,1
1997298,-75.097,-177.3886,1
1997299,-75.0831,-177.6653,1
1997300,-75.0692,-177.9421,1
1997301,-75.0793,-178.0771,1
1997302,-75.1135,-178.0702,1
1997303,-75.1475,-178.0634,1
1997304,-75.1646,-178.06,1
1997305,-75.1646,-178.06,1
1997306,-75.1646,-178.06,1
1997307,-75.1132,-178.3003,1
1997308,-75.0104,-178.7808,1
1997309,-74.9077,-179.2614,1
1997310,-74.8381,-179.6228,1
1997311,-74.8018,-179.8,1
1997312,-74.7655,179.8931,1
1997313,-74.7378,179.5162,1
1997314,-74.7186,179.0046,1
1997315,-74.6996,178.493,1
1997316,-74.676,178.1769,1
1997317,-74.648,178.0563,1
1997318,-74.6199,177.9356,1
1997319,-74.5875,177.8846,1
1997320,-74.5506,177.9031,1
1997321,-74.5136,177.9216,1
1997322,-74.4818,177.9327,1
1997323,-74.4548,177.9364,1
