date,sass_1,sass_2,sass_3
1978204,-71.7816,-56.8389,1
1978205,-71.7816,-56.8389,1
1978206,-71.7816,-56.8389,1
1978207,-71.7816,-56.8389,1
1978208,-71.7816,-56.8389,1
1978209,-71.7816,-56.8389,1
1978210,-71.7449,-56.8355,1
1978211,-71.6714,-56.8287,1
1978212,-71.5979,-56.8218,1
1978213,-71.5245,-56.815,1
1978214,-71.451,-56.8081,1
1978215,-71.3775,-56.8013,1
1978216,-71.3294,-56.7998,1
1978217,-71.3065,-56.8036,1
1978218,-71.2836,-56.8074,1
1978219,-71.2608,-56.8113,1
1978220,-71.2379,-56.8151,1
1978221,-71.215,-56.8189,1
1978222,-71.1719,-56.7987,1
1978223,-71.1084,-56.7545,1
1978224,-71.0449,-56.7103,1
1978225,-70.9815,-56.6662,1
1978226,-70.918,-56.622,1
1978227,-70.8545,-56.5778,1
1978228,-70.8228,-56.5557,1
1978229,-70.8228,-56.5557,1
1978230,-70.8228,-56.5557,1
1978231,-70.8228,-56.5557,1
1978232,-70.8228,-56.5557,1
1978233,-70.8228,-56.5557,1
1978234,-70.8228,-56.5557,1
1978235,-70.8228,-56.5557,1
1978236,-70.8228,-56.5557,1
1978237,-70.8228,-56.5557,1
1978238,-70.8228,-56.5557,1
1978239,-70.6811,-56.5994,1
1978240,-70.6102,-56.6212,1
1978241,-70.6102,-56.6212,1
1978242,-70.6102,-56.6212,1
1978243,-70.6102,-56.6212,1
1978244,-70.6102,-56.6212,1
1978245,-70.6102,-56.6212,1
1978246,-70.6102,-56.6212,1
1978247,-70.6102,-56.6212,1
1978248,-70.6102,-56.6212,1
1978249,-70.6102,-56.6212,1
1978250,-70.6102,-56.6212,1
1978251,-70.6102,-56.6212,1
1978252,-70.5519,-56.6108,1
1978253,-70.4353,-56.5901,1
1978254,-70.3187,-56.5694,1
1978255,-70.202,-56.5486,1
1978256,-70.0854,-56.5279,1
1978257,-69.9688,-56.5072,1
1978258,-69.9105,-56.4968,1
1978259,-69.9105,-56.4968,1
1978260,-69.9105,-56.4968,1
1978261,-69.9105,-56.4968,1
1978262,-69.9105,-56.4968,1
1978263,-69.9105,-56.4968,1
1978264,-69.8881,-56.5112,1
1978265,-69.8432,-56.5401,1
1978266,-69.7984,-56.569,1
1978267,-69.7536,-56.5978,1
1978268,-69.7087,-56.6267,1
1978269,-69.6639,-56.6556,1
1978270,-69.6415,-56.67,1
1978271,-69.6415,-56.67,1
1978272,-69.6415,-56.67,1
1978273,-69.6415,-56.67,1
1978274,-69.544,-56.674,1
1978275,-69.349,-56.6821,1
