date,qscat_1,qscat_2,qscat_3
2002016,-65.58,-52.72,1
2002017,-65.58,-52.72,1
2002018,-65.58,-52.72,1
2002019,-65.58,-52.72,1
2002020,-65.58,-52.72,1
2002021,-65.58,-52.72,1
2002022,-65.58,-52.72,1
2002023,-65.58,-52.72,1
2002024,-65.5023,-52.6056,1
2002025,-65.5023,-52.6056,1
2002026,-65.4132,-52.5988,1
2002027,-65.3442,-52.6148,1
2002028,-65.3193,-52.5644,1
2002029,-65.2001,-52.6193,1
2002030,-65.1513,-52.5905,1
2002031,-65.1026,-52.6503,1
2002032,-65.1026,-52.6503,1
2002033,-65.1026,-52.6503,1
2002034,-65.1187,-52.6511,1
2002035,-65.1272,-52.5614,1
2002036,-65.1272,-52.5614,1
2002037,-65.1421,-52.4833,1
2002038,-65.1639,-52.5323,1
2002039,-65.1639,-52.5323,1
2002040,-65.1639,-52.5323,1
2002041,-65.1639,-52.5323,1
2002042,-65.1639,-52.5323,1
2002043,-65.1639,-52.5323,1
2002044,-65.2652,-52.4507,1
2002045,-65.2028,-52.4823,1
2002046,-65.2028,-52.4823,1
2002047,-65.2112,-52.5939,1
2002048,-65.1918,-52.4945,1
2002049,-65.1918,-52.4945,1
2002050,-65.1252,-52.4618,1
2002051,-65.1252,-52.4618,1
2002052,-65.1,-52.4791,1
2002053,-65.0725,-52.4705,1
2002054,-65.0725,-52.4705,1
2002055,-65.045,-52.462,1
2002056,-65.045,-52.462,1
2002057,-65.045,-52.462,1
2002058,-65.0775,-52.3218,1
2002059,-65.0775,-52.3218,1
2002060,-65.0775,-52.3218,1
2002061,-65.0481,-52.4056,1
2002062,-65.0481,-52.4056,1
2002063,-65.0481,-52.4056,1
2002064,-65.0481,-52.4056,1
2002065,-65.0481,-52.4056,1
2002066,-65.0481,-52.4056,1
2002067,-65.0146,-52.5989,1
2002068,-65.0146,-52.5989,1
2002069,-65.0146,-52.5989,1
2002070,-64.8676,-52.7084,1
2002071,-64.8045,-52.6913,1
2002072,-64.7586,-52.7015,1
2002073,-64.6933,-52.6809,1
2002074,-64.6933,-52.6809,1
2002075,-64.6588,-52.5838,1
2002076,-64.602,-52.5995,1
2002077,-64.5379,-52.5263,1
2002078,-64.5389,-52.4951,0
2002079,-64.5409,-52.4743,0
2002080,-64.5419,-52.4337,1
2002081,-64.4894,-52.2395,1
2002082,-64.4177,-52.0815,1
2002083,-64.4177,-52.0815,1
2002084,-64.2598,-51.993,1
2002085,-64.2225,-51.8901,1
2002086,-64.1887,-51.7366,1
2002087,-64.144,-51.5893,1
2002088,-64.1449,-51.5102,1
2002089,-64.0966,-51.246,1
2002090,-64.0883,-51.1339,1
2002091,-64.0844,-50.9176,1
2002092,-64.0844,-50.9176,1
2002093,-63.9562,-50.5351,1
2002094,-63.845,-50.5017,1
2002095,-63.7596,-50.5186,1
2002096,-63.714,-50.6185,1
2002097,-63.7152,-50.7082,0
2002098,-63.7178,-50.7962,0
2002099,-63.7204,-50.8632,0
2002100,-63.7216,-50.8899,1
2002101,-63.7216,-50.8899,1
2002102,-63.7377,-50.9877,1
2002103,-63.7812,-50.9143,1
2002104,-63.8292,-50.8906,1
2002105,-63.8292,-50.8906,1
2002106,-63.8292,-50.8906,1
2002107,-63.8229,-50.9806,1
2002108,-63.8056,-51.1259,1
2002109,-63.8056,-51.1259,1
2002110,-63.8056,-51.1259,1
2002111,-63.8056,-51.1259,1
2002112,-63.798,-51.1031,1
2002113,-63.798,-51.1031,1
2002114,-63.798,-51.1031,1
2002115,-63.798,-51.1031,1
2002116,-63.798,-51.1031,1
2002117,-63.822,-50.8519,1
2002118,-63.822,-50.8519,1
2002119,-63.822,-50.8519,1
2002120,-63.822,-50.8519,1
2002121,-63.822,-50.8519,1
2002122,-63.822,-50.8519,1
2002123,-63.822,-50.8519,1
2002124,-63.6166,-50.1789,1
2002125,-63.5565,-50.0267,1
2002126,-63.4964,-49.7898,1
2002127,-63.3937,-49.7062,1
2002128,-63.2903,-49.746,1
2002129,-63.2426,-49.8292,1
2002130,-63.1745,-49.9776,1
2002131,-63.1469,-50.1135,1
2002132,-63.0947,-50.3289,1
2002133,-63.0558,-50.5878,1
2002134,-62.9407,-50.9394,1
2002135,-62.8694,-51.1682,1
2002136,-62.802,-51.2382,1
2002137,-62.7287,-51.3868,1
2002138,-62.6802,-51.4914,1
2002139,-62.6413,-51.6401,1
2002140,-62.6332,-51.7616,1
2002141,-62.6254,-51.9025,1
2002142,-62.5524,-51.9919,1
2002143,-62.472,-52.1878,1
2002144,-62.4624,-52.4171,1
2002145,-62.4774,-52.6834,1
2002146,-62.4397,-52.4711,1
2002147,-62.3026,-52.9098,1
2002148,-62.3026,-52.9098,1
2002149,-62.198,-52.902,0
2002150,-62.0934,-52.8806,1
2002151,-62.0963,-52.7929,1
2002152,-62.0963,-52.7929,1
2002153,-62.027,-52.7622,1
2002154,-61.9679,-52.6563,1
2002155,-61.9301,-52.4911,1
2002156,-61.8671,-52.2759,1
2002157,-61.8247,-52.2107,1
2002158,-61.9421,-52.0507,1
2002159,-61.882,-51.8745,1
2002160,-61.882,-51.8745,1
2002161,-61.8127,-51.7882,1
2002162,-61.8127,-51.7882,1
2002163,-61.6572,-51.4067,1
2002164,-61.6263,-51.2272,1
2002165,-61.6263,-51.2272,1
2002166,-61.502,-51.0587,1
2002167,-61.3924,-50.8803,1
2002168,-61.206,-50.3436,1
2002169,-61.0362,-50.2362,1
2002170,-60.8585,-50.3414,1
2002171,-60.7769,-50.5648,1
2002172,-60.8246,-50.6254,1
2002173,-60.8246,-50.6254,1
2002174,-60.749,-51.0576,1
2002175,-60.7127,-51.0005,1
2002176,-60.7127,-51.0005,1
2002177,-60.6751,-50.9683,1
2002178,-60.6591,-50.7788,1
2002179,-60.7129,-50.7738,1
2002180,-60.7834,-50.8731,1
2002181,-60.8562,-50.994,1
2002182,-60.8562,-50.994,1
2002183,-60.8544,-51.1167,1
2002184,-60.8544,-51.1167,1
2002185,-60.7485,-51.2585,1
2002186,-60.7485,-51.2585,1
2002187,-60.7485,-51.2585,1
2002188,-60.642,-51.2614,1
2002189,-60.5653,-51.1286,1
2002190,-60.5653,-51.1286,1
2002191,-60.51,-50.9111,1
2002192,-60.51,-50.9111,1
2002193,-60.4811,-50.6376,1
2002194,-60.4565,-50.4708,1
2002195,-60.4565,-50.4708,1
2002196,-60.5059,-50.115,1
2002197,-60.446,-49.9431,1
2002198,-60.3948,-49.7372,1
2002199,-60.3948,-49.7372,1
2002200,-60.3948,-49.7372,1
2002201,-60.3948,-49.7372,1
2002202,-60.3948,-49.7372,1
2002203,-60.2905,-49.7351,1
2002204,-60.2905,-49.7351,1
2002205,-60.2905,-49.7351,1
2002206,-60.2905,-49.7351,1
2002207,-60.2905,-49.7351,1
2002208,-60.2905,-49.7351,1
2002209,-60.2905,-49.7351,1
2002210,-60.1786,-48.9926,1
2002211,-60.2654,-48.6334,1
2002212,-60.2728,-48.5405,1
2002213,-60.2544,-48.5285,1
2002214,-60.1646,-48.4348,1
2002215,-60.1329,-48.3697,1
2002216,-60.0627,-48.3209,1
2002217,-59.992,-48.4087,1
2002218,-59.9242,-48.226,1
2002219,-59.8559,-48.1174,1
2002220,-59.7862,-47.9205,1
2002221,-59.6791,-47.708,1
2002222,-59.649,-47.6426,1
2002223,-59.6155,-47.5491,1
2002224,-59.5604,-47.2619,1
2002225,-59.614,-46.9781,1
2002226,-59.5054,-46.3245,1
2002227,-59.4374,-45.8537,1
2002228,-59.3377,-45.5138,1
2002229,-59.4845,-45.1196,1
2002230,-59.4845,-45.1196,1
2002231,-59.5966,-44.4662,1
2002232,-59.4976,-44.0699,1
2002233,-59.2733,-43.91,1
2002234,-59.1315,-43.7274,1
2002235,-59.0112,-43.549,1
2002236,-58.8951,-43.3556,1
2002237,-58.7401,-43.1822,1
2002238,-58.6211,-42.8418,1
2002239,-58.4617,-42.8236,1
2002240,-58.3858,-43.062,1
2002241,-58.1468,-43.3582,1
2002242,-58.0772,-43.0427,1
2002243,-58.0772,-43.0427,1
2002244,-57.9965,-42.6319,1
2002245,-57.7283,-42.5196,1
2002246,-57.641,-42.3918,1
2002247,-57.6065,-42.2789,1
2002248,-57.6335,-41.9521,1
2002249,-57.8494,-41.5353,1
2002250,-58.0855,-41.4341,1
2002251,-58.2423,-40.9614,1
2002252,-58.2132,-40.0109,1
