ascat_1,ascat_2,ascat_3,date
-69.829,15.3232,1,2015327
-69.829,15.3232,1,2015329
-69.829,15.3232,1,2015330
-69.829,15.3232,1,2015331
-69.829,15.3232,1,2015332
-69.829,15.3232,1,2015333
-69.829,15.3232,1,2015335
-69.829,15.3232,1,2015336
-69.829,15.3232,1,2015337
-69.829,15.3232,1,2015338
-69.829,15.3232,1,2015339
-69.829,15.3232,1,2015340
-69.829,15.3232,1,2015342
-69.8511,15.3121,1,2015343
-69.8511,15.3121,1,2015344
-69.8511,15.3121,1,2015345
-69.8511,15.3121,1,2015346
-69.8511,15.3121,1,2015347
-69.8511,15.3121,1,2015349
-69.8511,15.3121,1,2015350
-69.8511,15.3121,1,2015351
-69.8511,15.3121,1,2015352
-69.8511,15.3121,1,2015353
-69.8511,15.3121,1,2015354
-69.8511,15.3121,1,2015355
-69.8511,15.3121,1,2015356
-69.8511,15.3121,1,2015357
-69.8511,15.3121,1,2015358
-69.8511,15.3121,1,2015359
-69.8511,15.3121,1,2015360
-69.8511,15.3121,1,2015361
-69.8511,15.3121,1,2015363
-69.8511,15.3121,1,2015364
-69.8511,15.3121,1,2015365
-69.8511,15.3121,1,2016002
-69.8511,15.3121,1,2016003
-69.8511,15.3121,1,2016004
-69.8511,15.3121,1,2016005
-69.8511,15.3121,1,2016006
-69.8511,15.3121,1,2016007
-69.8511,15.3121,1,2016008
-69.8511,15.3121,1,2016009
-69.8511,15.3121,1,2016010
-69.8511,15.3121,1,2016011
-69.8511,15.3121,1,2016012
-69.8511,15.3121,1,2016013
-69.8511,15.3121,1,2016015
-69.8511,15.3121,1,2016016
-69.8511,15.3121,1,2016017
-69.435,14.1226,1,2016019
-69.8511,15.3121,1,2016020
-69.435,14.1226,1,2016021
-69.435,14.1226,1,2016022
-69.435,14.1226,1,2016023
-69.435,14.1226,1,2016024
-69.435,14.1226,1,2016025
-69.435,14.1226,1,2016027
-69.435,14.1226,1,2016028
-69.435,14.1226,1,2016029
-69.435,14.1226,1,2016030
-69.435,14.1226,1,2016032
-69.435,14.1226,1,2016033
-69.435,14.1226,1,2016034
-69.435,14.1226,1,2016035
-69.435,14.1226,1,2016036
-69.435,14.1226,1,2016037
-69.435,14.1226,1,2016038
-69.435,14.1226,1,2016039
-69.435,14.1226,1,2016041
-69.435,14.1226,1,2016042
-69.435,14.1226,1,2016043
-69.435,14.1226,1,2016044
-69.435,14.1226,1,2016045
-69.435,14.1226,1,2016046
-69.435,14.1226,1,2016048
-69.435,14.1226,1,2016049
-69.435,14.1226,1,2016050
-69.435,14.1226,1,2016051
-69.435,14.1226,1,2016052
-69.435,14.1226,1,2016053
-69.435,14.1226,1,2016054
-69.435,14.1226,1,2016056
-69.435,14.1226,1,2016057
-69.435,14.1226,1,2016058
-69.435,14.1226,1,2016059
-69.435,14.1226,1,2016061
-69.435,14.1226,1,2016062
-69.435,14.1226,1,2016063
-69.435,14.1226,1,2016064
-69.435,14.1226,1,2016065
-69.435,14.1226,1,2016066
-69.435,14.1226,1,2016067
-69.435,14.1226,1,2016069
-69.435,14.1226,1,2016070
-69.435,14.1226,1,2016071
-69.435,14.1226,1,2016072
-69.435,14.1226,1,2016073
-69.435,14.1226,1,2016074
-69.435,14.1226,1,2016076
-69.435,14.1226,1,2016077
-69.435,14.1226,1,2016078
-69.435,14.1226,1,2016079
-69.435,14.1226,1,2016080
-69.435,14.1226,1,2016081
