date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1998336,-75.8501,-52.6888,1,-75.7186,-52.1283,0,0,0,0,0,0,0,0,0
1998337,-75.8501,-52.6888,1,-75.6394,-52.2414,0,0,0,0,0,0,0,0,0
1998338,-75.8501,-52.6888,1,-75.5693,-52.3503,0,0,0,0,0,0,0,0,0
1998339,-75.8501,-52.6888,1,-75.5192,-52.441,0,0,0,0,0,0,0,0,0
1998340,-75.7969,-52.6883,1,-75.5,-52.5,1,0,0,0,0,0,0,42,25
1998341,-75.6903,-52.6872,1,0,0,0,0,0,0,0,0,0,0,0
1998342,-75.5838,-52.6861,1,0,0,0,0,0,0,0,0,0,0,0
1998343,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998344,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998345,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998346,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998347,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998348,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998349,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998350,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998351,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998352,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998353,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998354,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998355,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998356,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998357,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998358,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998359,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998360,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998361,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998362,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998363,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998364,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1998365,-75.5306,-52.6856,0,0,0,0,0,0,0,0,0,0,0,0
1999001,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1999002,-75.5306,-52.6856,1,0,0,0,0,0,0,0,0,0,0,0
1999003,-75.5685,-52.7784,1,-75.5,-53.1,1,0,0,0,0,0,0,42,25
