date,qscat_1,qscat_2,qscat_3
2008131,-61.9728,-56.826,1
2008132,-62.0301,-57.1532,1
2008133,-61.9105,-56.8337,1
2008134,-61.8066,-56.8479,1
2008135,-61.7049,-56.8929,1
2008136,-61.6616,-57.0084,1
2008137,-61.6303,-57.2496,1
2008138,-61.617,-57.3846,1
2008139,-61.6223,-57.4739,1
2008140,-61.6033,-57.6461,1
2008141,-61.5224,-57.6454,1
2008142,-61.5014,-57.8792,1
2008143,-61.429,-57.6635,1
2008144,-61.3886,-57.5308,1
2008145,-61.4133,-57.3573,0
2008146,-61.4502,-57.1812,1
2008147,-61.4712,-57.0411,1
2008148,-61.4255,-56.9055,1
2008149,-61.3806,-56.7234,1
2008150,-61.2089,-56.6418,1
2008151,-60.9601,-56.4306,0
2008152,-60.7034,-56.1479,1
2008153,-60.5096,-55.8779,1
2008154,-60.5209,-55.7151,1
2008155,-60.4159,-55.5202,1
2008156,-60.4112,-55.3946,1
2008157,-60.4614,-55.257,1
2008158,-60.4214,-55.1186,1
2008159,-60.3367,-54.9488,1
2008160,-60.2512,-55.2325,1
2008161,-60.1012,-55.554,1
2008162,-59.8302,-55.3347,1
2008163,-59.8642,-55.0499,1
2008164,-59.9068,-55.0515,1
2008165,-59.9322,-55.0604,1
2008166,-60.0102,-55.146,1
2008167,-60.0964,-55.1887,1
2008168,-60.162,-54.892,1
2008169,-60.1867,-55.1639,1
2008170,-60.1385,-55.1921,1
2008171,-59.9521,-54.8638,1
2008172,-59.7937,-54.4052,0
2008173,-59.6614,-53.8769,1
2008174,-59.5649,-53.3234,1
2008175,-59.4282,-52.7187,1
2008176,-59.4474,-52.2162,0
2008177,-59.4896,-51.7377,0
2008178,-59.5317,-51.3798,0
2008179,-59.5509,-51.239,1
2008180,-59.5509,-51.239,1
2008181,-59.4546,-50.8729,1
2008182,-59.2746,-50.8634,0
2008183,-59.0967,-50.8606,1
2008184,-59.005,-50.9089,1
2008185,-58.8849,-50.8271,1
2008186,-58.7291,-50.686,0
2008187,-58.571,-50.5352,1
2008188,-58.4441,-50.4285,1
2008189,-58.2938,-49.6626,1
2008190,-58.3312,-49.1539,1
2008191,-58.3444,-48.6711,0
2008192,-58.36,-48.2911,1
2008193,-58.4441,-48.0878,1
2008194,-58.5581,-47.9199,1
2008195,-58.6807,-47.6001,1
2008209,-58.9441,-47.9573,1
2008210,-58.9655,-47.6665,1
2008211,-58.9655,-47.6665,1
2008212,-59.1219,-47.3217,1
2008213,-59.3039,-47.1322,1
2008214,-59.4894,-46.9745,1
2008215,-59.6721,-46.9811,1
2008216,-59.8007,-46.8638,1
