ascat_1,ascat_2,ascat_3,date,qscat_1,qscat_2,qscat_3
-69.793,13.2441,1,2017225,0,0,0
-69.793,13.2441,1,2017226,0,0,0
-69.793,13.2441,1,2017227,0,0,0
-69.793,13.2441,1,2017228,0,0,0
-69.793,13.2441,1,2017229,0,0,0
-69.793,13.2441,1,2017230,0,0,0
-69.793,13.2441,1,2017231,0,0,0
-69.793,13.2441,1,2017232,0,0,0
-69.793,13.2441,1,2017233,0,0,0
-69.793,13.2441,1,2017234,0,0,0
-69.793,13.2441,1,2017235,0,0,0
-69.793,13.2441,1,2017240,0,0,0
-69.793,13.2441,1,2017241,0,0,0
-69.793,13.2441,1,2017242,0,0,0
-69.793,13.2441,1,2017243,0,0,0
-69.793,13.2441,1,2017244,0,0,0
-69.793,13.2441,1,2017245,0,0,0
-69.793,13.2441,1,2017246,0,0,0
-69.793,13.2441,1,2017247,0,0,0
-69.793,13.2441,1,2017248,0,0,0
-69.793,13.2441,1,2017249,0,0,0
-69.793,13.2441,1,2017250,0,0,0
-69.793,13.2441,1,2017251,0,0,0
-69.793,13.2441,1,2017252,0,0,0
-69.793,13.2441,1,2017253,0,0,0
-69.793,13.2441,1,2017254,0,0,0
-69.793,13.2441,1,2017255,0,0,0
-69.793,13.2441,1,2017256,0,0,0
-69.793,13.2441,1,2017258,0,0,0
-69.793,13.2441,1,2017259,0,0,0
-69.793,13.2441,1,2017260,0,0,0
-69.793,13.2441,1,2017261,0,0,0
-69.793,13.2441,1,2017262,0,0,0
-69.793,13.2441,1,2017263,0,0,0
-69.793,13.2441,1,2017264,0,0,0
-69.793,13.2441,1,2017265,0,0,0
-69.793,13.2441,1,2017266,0,0,0
-69.793,13.2441,1,2017267,0,0,0
-69.793,13.2441,1,2017268,0,0,0
-69.793,13.2441,1,2017269,0,0,0
-69.793,13.2441,1,2017270,0,0,0
-69.793,13.2441,1,2017271,0,0,0
-69.793,13.2441,1,2017272,0,0,0
-69.793,13.2441,1,2017273,0,0,0
-69.793,13.2441,1,2017274,0,0,0
-69.793,13.2441,1,2017275,0,0,0
-69.793,13.2441,1,2017276,0,0,0
-69.793,13.2441,1,2017278,0,0,0
-69.793,13.2441,1,2017279,0,0,0
-69.793,13.2441,1,2017280,0,0,0
-69.793,13.2441,1,2017281,0,0,0
-69.793,13.2441,1,2017282,0,0,0
-69.793,13.2441,1,2017284,0,0,0
-69.793,13.2441,1,2017285,0,0,0
