ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3
0,0,0,2002118,0,0,0,-65.1,103.03,1,0,0,0
0,0,0,2002119,0,0,0,-65.1,103.03,1,0,0,0
0,0,0,2002120,0,0,0,-65.1,103.03,1,0,0,0
0,0,0,2002121,0,0,0,-65.1,103.03,1,0,0,0
0,0,0,2002122,0,0,0,-65.1,103.03,1,0,0,0
0,0,0,2002123,0,0,0,-65.1,103.03,1,0,0,0
0,0,0,2002124,0,0,0,-65.1553,103.0353,1,0,0,0
0,0,0,2002125,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002126,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002127,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002128,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002129,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002130,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002131,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002132,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002133,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002134,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002135,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002136,0,0,0,-65.188,103.0352,1,0,0,0
0,0,0,2002137,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002138,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002139,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002140,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002141,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002142,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002143,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002144,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002145,0,0,0,-65.184,102.9425,1,0,0,0
0,0,0,2002146,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002147,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002148,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002149,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002150,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002151,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002152,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002153,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002154,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002155,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002156,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002157,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002158,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002159,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002160,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002161,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002162,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002163,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002164,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002165,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002166,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002167,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002168,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002169,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002170,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002171,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002172,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002173,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002174,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002175,0,0,0,-65.1965,102.9984,1,0,0,0
0,0,0,2002176,0,0,0,-65.1965,102.9984,1,0,0,0
