date,qscat_1,qscat_2,qscat_3
2008080,-65.4826,106.942,1
2008081,-65.4826,106.942,1
2008082,-65.4794,106.9224,0
2008083,-65.4709,106.8691,0
2008084,-65.4583,106.7907,0
2008085,-65.443,106.6954,0
2008086,-65.4263,106.5918,0
2008087,-65.4096,106.4881,0
2008088,-65.3943,106.3928,0
2008089,-65.3817,106.3144,0
2008090,-65.3732,106.2611,0
2008091,-65.37,106.2415,1
2008092,-65.37,106.2415,1
2008093,-65.37,106.2415,1
2008094,-65.37,106.2415,1
2008095,-65.37,106.2415,1
2008096,-65.37,106.2415,1
2008097,-65.2727,106.155,1
2008098,-65.1997,106.0024,1
2008099,-65.2035,106.0175,0
2008100,-65.2138,106.0581,0
2008101,-65.2286,106.1168,0
2008102,-65.2462,106.1865,0
2008103,-65.2648,106.2597,0
2008104,-65.2824,106.3294,0
2008105,-65.2972,106.3881,0
2008106,-65.3075,106.4287,0
2008107,-65.3113,106.4438,1
2008108,-65.3113,106.4438,1
2008109,-65.3113,106.4438,1
2008110,-65.3113,106.4438,1
2008111,-65.153,106.2643,1
2008112,-65.153,106.2643,1
2008113,-65.153,106.2643,1
2008114,-65.153,106.2643,1
2008115,-65.2579,106.186,1
2008116,-65.2579,106.186,1
2008117,-65.2579,106.186,1
2008118,-65.2579,106.186,1
2008119,-65.2579,106.186,1
2008120,-65.2579,106.186,0
2008121,-65.2579,106.186,1
