date,qscat_1,qscat_2,qscat_3
2001110,-69.47,17.16,1
2001111,-69.4965,16.7684,1
2001112,-69.4632,16.4374,1
2001113,-69.3697,16.1319,1
2001114,-69.2748,15.9973,1
2001115,-69.1869,15.4512,1
2001116,-69.1869,15.4512,1
2001117,-69.207,14.5431,1
2001118,-69.356,13.5681,1
2001119,-69.4104,13.4672,1
2001120,-69.4104,13.4672,1
2001121,-69.4636,13.3208,1
2001122,-69.4636,13.3208,1
2001123,-69.479,13.0682,1
2001124,-69.479,13.0682,1
2001125,-69.5239,12.8943,1
2001126,-69.5239,12.8943,1
2001127,-69.5208,12.6072,1
2001128,-69.5208,12.6072,1
2001129,-69.5963,12.3632,1
2001130,-69.5628,11.9846,1
2001131,-69.5628,11.9846,1
2001132,-69.58,11.8117,0
2001133,-69.6212,11.3675,0
2001134,-69.6709,10.7636,0
2001135,-69.7136,10.1117,1
2001136,-69.7456,9.2685,1
2001137,-69.769,7.8481,1
2001138,-69.8066,7.024,1
2001139,-69.7955,6.5581,1
2001140,-69.8555,6.0466,1
2001141,-69.967,5.5185,1
2001142,-70.0098,5.2691,1
2001143,-70.0098,5.2691,1
2001144,-70.0573,4.767,1
2001145,-70.0573,4.767,1
2001146,-70.0573,4.767,1
2001147,-70.0573,4.767,1
2001148,-70.0573,4.767,1
2001149,-70.0658,4.5436,1
2001150,-69.9748,3.9584,1
2001151,-69.9748,3.9584,1
2001152,-69.9309,2.1702,1
2001153,-69.7981,1.4684,1
2001154,-69.6776,0.9155,1
2001155,-69.5679,0.2757,1
2001156,-69.6118,-0.8918,1
2001157,-69.8059,-1.4365,1
2001158,-70.0348,-2.1996,1
2001159,-70.072,-2.6329,1
2001160,-70.0522,-3.0397,1
2001161,-70.0707,-3.9618,1
2001162,-70.1612,-4.7449,1
2001163,-70.1882,-5.564,1
2001164,-70.2196,-5.9626,1
2001165,-70.2196,-5.9626,1
2001166,-70.305,-5.6545,1
2001167,-70.305,-5.6545,1
2001168,-70.3085,-6.9832,1
2001169,-70.3085,-6.9832,1
2001170,-70.4559,-8.7757,1
2001171,-70.5211,-9.3809,1
2001172,-70.6385,-10.1551,1
2001173,-70.6385,-10.1551,1
2001174,-70.6974,-10.6566,1
2001175,-70.8743,-11.1695,1
2001176,-70.9777,-11.41,1
2001177,-71.0593,-11.7918,1
2001178,-71.1438,-12.1626,1
2001179,-71.1511,-12.4843,1
2001180,-71.1414,-12.7946,1
2001181,-71.1414,-12.7946,1
2001182,-71.2005,-13.8098,1
2001183,-71.2005,-13.8098,1
