date,qscat_1,qscat_2,qscat_3
2002118,-62.6374,-53.7901,1
2002119,-62.5567,-53.8198,1
2002120,-62.5351,-53.7559,1
2002121,-62.5003,-54.0557,1
2002122,-62.5003,-54.0557,1
2002123,-62.4962,-54.1109,1
2002124,-62.4448,-54.0126,1
2002125,-62.4629,-54.0187,1
2002126,-62.4171,-53.9731,1
2002127,-62.3607,-54.0556,1
2002128,-62.3281,-54.1454,1
2002129,-62.2974,-54.3219,1
2002130,-62.2695,-54.6604,1
2002131,-62.2236,-54.8816,1
2002132,-62.2236,-54.8816,1
2002133,-62.1966,-55.437,1
2002134,-62.2481,-55.732,1
2002135,-62.2481,-55.732,1
2002136,-62.2924,-56.1335,1
2002137,-62.2924,-56.1335,1
2002138,-62.2924,-56.1335,1
2002139,-62.2481,-56.1494,1
2002140,-62.1787,-56.2179,1
2002141,-62.1787,-56.2179,1
2002142,-62.144,-56.3493,1
2002143,-62.144,-56.3493,1
2002144,-62.1048,-56.5043,1
2002145,-62.1391,-56.3485,1
2002146,-62.0663,-56.4087,1
2002147,-62.1168,-56.5314,1
2002148,-62.1168,-56.5314,1
2002149,-62.1168,-56.5314,0
2002150,-62.1168,-56.5314,1
2002151,-62.1029,-56.5247,1
2002152,-62.1029,-56.5247,1
2002153,-62.1029,-56.5247,1
2002154,-62.1029,-56.5247,1
2002155,-62.1282,-56.7391,1
2002156,-62.0602,-56.7825,1
2002157,-61.9681,-56.8799,1
2002158,-61.8776,-56.8198,1
2002159,-61.8776,-56.8198,1
2002160,-61.8073,-57.0905,1
2002161,-61.7309,-57.0651,1
2002162,-61.7874,-57.2767,1
2002163,-61.7874,-57.2767,1
2002164,-61.6968,-57.5795,1
2002165,-61.6968,-57.5795,1
2002166,-61.594,-57.3882,1
2002167,-61.4161,-57.4106,1
2002168,-61.2669,-57.5503,1
2002169,-61.2669,-57.5503,1
2002170,-61.1824,-57.3273,1
2002171,-61.1824,-57.3273,1
2002172,-61.1824,-57.3273,1
2002173,-61.1824,-57.3273,1
2002174,-61.0213,-57.2273,1
2002175,-61.0213,-57.2273,1
2002176,-61.0213,-57.2273,1
2002177,-60.877,-56.7671,1
2002178,-60.877,-56.7671,1
2002179,-60.9018,-56.4639,1
2002180,-60.9018,-56.4639,1
2002181,-60.8718,-56.0692,1
2002182,-60.8718,-56.0692,1
2002183,-60.8718,-56.0692,1
2002184,-60.7625,-55.6177,1
2002185,-60.7625,-55.6177,1
2002186,-60.7452,-54.7766,1
2002187,-60.5662,-54.5506,1
2002188,-60.5662,-54.5506,1
2002189,-60.5093,-54.751,1
2002190,-60.5093,-54.751,1
2002191,-60.4697,-54.4152,1
2002192,-60.2987,-54.3884,1
2002193,-60.2987,-54.3884,1
2002194,-60.0157,-54.3849,1
2002195,-60.0157,-54.3849,1
2002196,-60.0157,-54.3849,1
2002197,-60.0157,-54.3849,1
2002198,-60.0157,-54.3849,1
2002199,-60.249,-53.9905,1
