ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3
-69.4014,28.283,1,2012075,-69.4014,28.283,1
-69.4631,28.088,1,2012076,-69.4631,28.088,1
-69.5358,27.9401,1,2012077,-69.5358,27.9401,1
-69.5559,28.0352,1,2012078,-69.5559,28.0352,1
-69.5462,28.0203,1,2012079,-69.5462,28.0203,1
-69.5192,28.044,1,2012080,-69.5192,28.044,1
-69.5128,27.9701,1,2012081,-69.5128,27.9701,1
-69.5335,27.8721,1,2012082,-69.5335,27.8721,1
-69.5347,27.9065,1,2012083,-69.5347,27.9065,1
-69.5218,27.8548,1,2012084,-69.5218,27.8548,1
-69.5193,27.787,1,2012085,-69.5193,27.787,1
-69.5033,27.6029,1,2012086,-69.5033,27.6029,1
-69.4822,27.2524,1,2012087,-69.4822,27.2524,1
-69.5214,26.7671,1,2012088,-69.5214,26.7671,1
-69.6824,26.4555,1,2012089,-69.6824,26.4555,1
-69.8175,26.0703,1,2012090,-69.8175,26.0703,1
-69.8852,25.7396,1,2012091,-69.8852,25.7396,1
-69.8753,25.3821,1,2012092,-69.8753,25.3821,1
-69.9871,24.6683,1,2012093,-69.9871,24.6683,1
-70.1102,24.2238,1,2012094,-70.1102,24.2238,1
-70.1177,22.9225,1,2012095,-70.1177,22.9225,1
-69.9805,21.745,1,2012096,-69.9805,21.745,1
-69.8933,21.4574,1,2012097,-69.8933,21.4574,1
-69.8361,21.0512,1,2012098,-69.8361,21.0512,1
-69.7352,20.6633,1,2012099,-69.7352,20.6633,1
-69.6565,19.8449,1,2012100,-69.6565,19.8449,1
-69.5198,19.4327,1,2012101,-69.5198,19.4327,1
-69.4104,18.9646,1,2012102,-69.4104,18.9646,1
-69.4113,18.3084,1,2012103,-69.4113,18.3084,1
-69.3743,17.7999,1,2012104,-69.3743,17.7999,1
-69.3765,17.3256,0,2012105,-69.3765,17.3256,0
-69.3787,16.8559,1,2012106,-69.3787,16.8559,1
-69.2848,16.3646,1,2012107,-69.2848,16.3646,1
-69.2411,16.0963,1,2012108,-69.2411,16.0963,1
-69.2585,15.3223,1,2012109,-69.2585,15.3223,1
-69.2575,14.829,1,2012110,-69.2575,14.829,1
-69.3364,13.7224,1,2012111,-69.3364,13.7224,1
-69.4042,13.5959,1,2012112,-69.4042,13.5959,1
-69.4782,13.0625,1,2012113,-69.4782,13.0625,1
-69.5066,12.9947,1,2012114,-69.5066,12.9947,1
-69.5051,12.5266,1,2012115,-69.5051,12.5266,1
-69.4855,12.4276,1,2012116,-69.4855,12.4276,1
-69.5173,12.0978,1,2012117,-69.5173,12.0978,1
-69.571,12.0156,1,2012118,-69.571,12.0156,1
-69.6545,11.3924,1,2012119,-69.6545,11.3924,1
-69.6613,11.4558,1,2012120,-69.6613,11.4558,1
-69.7042,11.1302,1,2012121,-69.7042,11.1302,1
-69.7591,10.5429,1,2012122,-69.7591,10.5429,1
-69.7843,9.2677,1,2012123,-69.7843,9.2677,1
-69.8063,9.0763,1,2012124,-69.8063,9.0763,1
-69.8038,8.3151,1,2012125,-69.8038,8.3151,1
-69.7982,7.7891,1,2012126,-69.7982,7.7891,1
-69.8426,7.3112,1,2012127,-69.8426,7.3112,1
-69.8472,7.0512,1,2012128,-69.8472,7.0512,1
-69.9159,6.4617,1,2012129,-69.9159,6.4617,1
-69.9791,5.8384,1,2012130,-69.9791,5.8384,1
-69.9834,5.5774,1,2012131,-69.9834,5.5774,1
-69.9859,4.9341,1,2012132,-69.9859,4.9341,1
-70.0678,4.1332,1,2012133,-70.0678,4.1332,1
-70.0877,3.5514,1,2012134,-70.0877,3.5514,1
-70.0284,2.3706,1,2012135,-70.0284,2.3706,1
-69.9454,1.9264,1,2012136,-69.9454,1.9264,1
-69.8774,1.6594,1,2012137,-69.8774,1.6594,1
-69.8018,1.1621,1,2012138,-69.8018,1.1621,1
-69.706,0.8986,1,2012139,-69.706,0.8986,1
-69.599,0.5511,1,2012140,-69.599,0.5511,1
-69.5358,0.1222,1,2012141,-69.5358,0.1222,1
-69.5712,-0.9055,1,2012142,-69.5712,-0.9055,1
-69.7473,-1.6608,1,2012143,-69.7473,-1.6608,1
-69.8787,-1.9894,1,2012144,-69.8787,-1.9894,1
-70.0048,-2.3522,1,2012145,-70.0048,-2.3522,1
-70.0347,-2.9699,1,2012146,-70.0347,-2.9699,1
-70.1176,-3.5108,1,2012147,-70.1176,-3.5108,1
-70.1971,-4.0265,1,2012148,-70.1971,-4.0265,1
-70.2294,-4.5061,1,2012149,-70.2294,-4.5061,1
-70.2037,-4.7062,1,2012150,-70.2037,-4.7062,1
-70.2071,-4.825,1,2012151,-70.2071,-4.825,1
-70.2028,-4.9717,1,2012152,-70.2028,-4.9717,1
-70.163,-5.1089,1,2012153,-70.163,-5.1089,1
-70.1398,-5.4275,1,2012154,-70.1398,-5.4275,1
-70.1574,-5.6386,1,2012155,-70.1574,-5.6386,1
-70.185,-6.0018,1,2012156,-70.185,-6.0018,1
-70.2747,-6.3566,1,2012157,-70.2747,-6.3566,1
