ascat_1,ascat_2,ascat_3,date
-53.6415,-31.5495,0,2014274
-53.5253,-31.4803,1,2014275
-53.3075,-31.5786,1,2014276
-53.11,-31.5388,0,2014277
-52.9586,-31.4971,1,2014278
-52.8802,-31.495,1,2014279
-52.8839,-31.5481,0,2014280
-52.8948,-31.6648,0,2014281
-52.913,-31.7808,1,2014282
-52.9871,-31.8744,1,2014283
-52.9731,-31.423,1,2014284
