date,sass_1,sass_2,sass_3
1978204,-67.51,-58.55,1
1978205,-67.51,-58.55,1
1978206,-67.51,-58.55,1
1978207,-67.51,-58.55,1
1978208,-67.51,-58.55,1
1978209,-67.51,-58.55,1
1978210,-67.51,-58.55,1
1978211,-67.51,-58.55,1
1978212,-67.51,-58.55,1
1978213,-67.51,-58.55,1
1978214,-67.51,-58.55,1
1978215,-67.51,-58.55,1
1978216,-67.51,-58.55,1
1978217,-67.51,-58.55,1
1978218,-67.51,-58.55,1
1978219,-67.51,-58.55,1
1978220,-67.51,-58.55,1
1978221,-67.51,-58.55,1
1978222,-67.51,-58.55,1
1978223,-67.51,-58.55,1
1978224,-67.51,-58.55,1
1978225,-67.51,-58.55,1
1978226,-67.51,-58.55,1
1978227,-67.51,-58.55,1
1978228,-67.5012,-58.5448,1
1978229,-67.4835,-58.5345,1
1978230,-67.4658,-58.5241,1
1978231,-67.4482,-58.5138,1
1978232,-67.4305,-58.5034,1
1978233,-67.4128,-58.4931,1
1978234,-67.404,-58.4879,1
1978235,-67.404,-58.4879,1
1978236,-67.404,-58.4879,1
1978237,-67.404,-58.4879,1
1978238,-67.404,-58.4879,1
1978239,-67.404,-58.4879,1
1978240,-67.3922,-58.4695,1
1978241,-67.3686,-58.4328,1
1978242,-67.345,-58.396,1
1978243,-67.3215,-58.3592,1
1978244,-67.2979,-58.3224,1
1978245,-67.2743,-58.2857,1
1978246,-67.2552,-58.2691,1
1978247,-67.2406,-58.2727,1
1978248,-67.2259,-58.2764,1
1978249,-67.2113,-58.28,1
1978250,-67.1967,-58.2837,1
1978251,-67.182,-58.2873,1
1978252,-67.1713,-58.3071,1
1978253,-67.1644,-58.3431,1
1978254,-67.1575,-58.3791,1
1978255,-67.1507,-58.415,1
1978256,-67.1438,-58.451,1
1978257,-67.1369,-58.487,1
1978258,-67.1335,-58.505,1
1978259,-67.1335,-58.505,1
1978260,-67.1335,-58.505,1
1978261,-67.1335,-58.505,1
1978262,-67.1335,-58.505,1
1978263,-67.1335,-58.505,1
1978264,-67.1346,-58.4932,1
1978265,-67.1368,-58.4695,1
1978266,-67.139,-58.4458,1
1978267,-67.1412,-58.4222,1
1978268,-67.1434,-58.3985,1
1978269,-67.1456,-58.3748,1
1978270,-67.1467,-58.363,1
1978271,-67.1467,-58.363,1
1978272,-67.1467,-58.363,1
1978273,-67.1467,-58.363,1
1978274,-67.0959,-58.3463,1
1978275,-66.9943,-58.313,1
