date,sass_1,sass_2,sass_3
1978204,-74.158,-38.1611,1
1978205,-74.158,-38.1611,1
1978206,-74.158,-38.1611,1
1978207,-74.158,-38.1611,1
1978208,-74.158,-38.1611,1
1978209,-74.158,-38.1611,1
1978210,-74.1527,-38.245,1
1978211,-74.142,-38.4127,1
1978212,-74.1314,-38.5804,1
1978213,-74.1207,-38.7481,1
1978214,-74.1101,-38.9158,1
1978215,-74.0994,-39.0835,1
1978216,-74.1014,-39.1928,1
1978217,-74.1161,-39.2437,1
1978218,-74.1308,-39.2945,1
1978219,-74.1455,-39.3453,1
1978220,-74.1602,-39.3962,1
1978221,-74.1749,-39.447,1
1978222,-74.1682,-39.4902,1
1978223,-74.1403,-39.5259,1
1978224,-74.1124,-39.5615,1
1978225,-74.0844,-39.5972,1
1978226,-74.0565,-39.6328,1
1978227,-74.0286,-39.6685,1
1978228,-74.0038,-39.705,1
1978229,-73.9823,-39.7423,1
1978230,-73.9608,-39.7796,1
1978231,-73.9393,-39.817,1
1978232,-73.9178,-39.8543,1
1978233,-73.8963,-39.8916,1
1978234,-73.8855,-39.9103,1
1978235,-73.8855,-39.9103,1
1978236,-73.8855,-39.9103,1
1978237,-73.8855,-39.9103,1
1978238,-73.8855,-39.9103,1
1978239,-73.7321,-41.0864,0
1978240,-73.5787,-42.2625,1
1978241,-73.5787,-42.2625,1
1978242,-73.5787,-42.2625,1
1978243,-73.5787,-42.2625,1
1978244,-73.5787,-42.2625,1
1978245,-73.5787,-42.2625,1
1978246,-73.5787,-42.2625,1
1978247,-73.5787,-42.2625,1
1978248,-73.5787,-42.2625,1
1978249,-73.5787,-42.2625,1
1978250,-73.5787,-42.2625,1
1978251,-73.5787,-42.2625,1
1978252,-73.4732,-42.3034,1
1978253,-73.2621,-42.3852,1
1978254,-73.051,-42.4671,1
1978255,-72.8398,-42.5489,1
1978256,-72.6287,-42.6308,1
1978257,-72.4176,-42.7126,1
1978258,-72.2899,-42.8508,1
1978259,-72.2454,-43.0454,1
1978260,-72.2009,-43.24,1
1978261,-72.1564,-43.4345,1
1978262,-72.1119,-43.6291,1
1978263,-72.0674,-43.8237,1
1978264,-72.036,-43.9556,1
1978265,-72.0175,-44.0247,1
1978266,-71.9991,-44.0938,1
1978267,-71.9806,-44.1628,1
1978268,-71.9622,-44.2319,1
1978269,-71.9437,-44.301,1
1978270,-71.9195,-44.487,1
1978271,-71.8895,-44.7897,1
1978272,-71.8595,-45.0925,1
1978273,-71.8295,-45.3952,1
1978274,-71.8145,-45.5466,1
1978275,-71.8145,-45.5466,1
