ascat_1,ascat_2,ascat_3,date
-65.4645,100.0923,1,2022276
-65.4461,99.9354,1,2022277
-65.5037,99.8317,1,2022278
-65.5037,99.8317,1,2022279
-65.45,99.99,1,2022280
-65.3193,99.8932,1,2022281
-65.2249,99.8224,1,2022282
-65.2431,99.8511,1,2022283
-65.293,99.8506,1,2022284
-65.293,99.8506,1,2022285
-65.2445,100.2331,1,2022286
-65.2322,100.3954,1,2022287
-65.113,100.5128,1,2022288
-65.2893,100.3038,1,2022289
-65.482,100.1317,1,2022290
-65.6646,100.0929,1,2022291
-65.6646,100.0929,1,2022292
-65.6726,99.9789,1,2022293
-65.6726,99.9789,1,2022294
-65.6405,99.8676,1,2022295
-65.6405,99.8676,1,2022296
-65.6405,99.8676,1,2022297
-65.6307,100.0037,1,2022298
-65.6307,100.0037,1,2022299
-65.5427,99.9767,1,2022300
-65.4251,100.0869,1,2022301
-65.46,100.1551,1,2022302
-65.5541,100.0989,1,2022303
-65.6706,100.0092,1,2022304
-65.6773,99.9153,1,2022305
-65.6621,99.8447,1,2022306
-65.6771,99.9157,1,2022307
-65.6771,99.9157,1,2022308
-65.6771,99.9157,1,2022309
-65.6771,99.9157,1,2022310
-65.6771,99.9157,1,2022311
-65.6771,99.9157,1,2022312
-65.6771,99.9157,1,2022313
-65.6771,99.9157,1,2022314
-65.6771,99.9157,1,2022315
-65.6771,99.9157,1,2022316
-65.7,99.88,1,2022364
-65.7,99.88,1,2023001
-65.6008,99.4284,1,2023003
-65.6008,99.4284,1,2023004
-65.6008,99.4284,1,2023005
-65.6008,99.4284,1,2023006
-65.6008,99.4284,1,2023007
-65.6008,99.4284,1,2023008
-65.5388,99.4827,1,2023009
-65.5388,99.4827,1,2023010
-65.4531,99.5441,1,2023011
-65.45,99.56,1,2023012
-65.45,99.56,1,2023013
-65.45,99.56,1,2023014
-65.45,99.56,1,2023015
-65.5474,99.5551,1,2023016
-65.5474,99.5551,1,2023017
-65.521,99.7859,1,2023018
-65.413,99.6404,1,2023019
-65.41,99.41,1,2023020
-65.41,99.41,1,2023021
-65.3874,99.2724,1,2023022
-65.3874,99.2724,1,2023023
-65.3874,99.2724,1,2023024
-65.3435,99.236,1,2023025
-65.2741,99.1577,1,2023026
-65.02,99.15,1,2023027
-64.9869,99.1929,1,2023028
-64.9677,99.1349,1,2023029
-64.9109,99.1159,1,2023030
-64.8691,99.1721,1,2023031
-64.8063,99.385,1,2023032
-64.8063,99.385,1,2023033
-64.7688,99.7002,1,2023034
-64.772,99.8828,1,2023035
-64.7813,99.8838,0,2023036
-64.7885,99.8846,1,2023037
-64.6791,99.9475,0,2023038
-64.5697,100.0096,1,2023039
-64.5697,100.0096,1,2023040
-64.5,100.24,1,2023041
-64.5336,100.3144,1,2023042
-64.5785,100.3548,1,2023043
-64.5983,100.2918,1,2023044
-64.6191,100.2513,0,2023045
-64.6438,100.2182,1,2023046
-64.6739,100.1798,0,2023047
-64.7215,100.1579,1,2023048
-64.8521,100.3837,1,2023049
-64.8295,100.1528,1,2023050
-64.8295,100.1528,1,2023051
-64.8295,100.1528,1,2023052
-64.9873,100.3964,1,2023053
-65.0541,100.5174,1,2023054
-65.0541,100.5174,1,2023055
-65.0541,100.5174,1,2023056
-65.0541,100.5174,1,2023057
-65.0541,100.5174,1,2023058
-65.1436,100.2513,1,2023059
-65.1436,100.2513,1,2023060
-65.1151,100.2292,1,2023061
-65.1151,100.2292,1,2023062
-65.1151,100.2292,1,2023063
-65.1151,100.2292,1,2023064
-65.1151,100.2292,1,2023065
-65.2554,100.226,1,2023066
-65.2554,100.226,1,2023067
-65.2727,99.9897,1,2023068
-65.1721,99.8635,1,2023069
-65.1197,99.9059,0,2023070
-65.0963,99.9483,1,2023071
-65.0963,99.9483,1,2023072
-65.0963,99.9483,0,2023073
-65.0963,99.9483,1,2023074
-65.0675,99.7994,1,2023075
-64.9264,99.5439,1,2023076
-64.8083,99.5291,1,2023077
-64.7232,99.3498,0,2023078
-64.6809,99.183,1,2023079
-64.6809,99.183,1,2023080
-64.7327,99.1134,1,2023081
-64.7327,99.1134,1,2023082
-64.7327,99.1134,1,2023083
-64.6398,99.4675,1,2023084
-64.5443,99.3437,1,2023085
-64.5412,98.9868,1,2023086
-64.5412,98.9868,1,2023087
-64.6518,99.0665,1,2023088
-64.6248,98.8746,0,2023089
-64.5977,98.6827,1,2023090
-64.5977,98.6827,1,2023091
