date,qscat_1,qscat_2,qscat_3
2002030,-65.13,-53.47,1
2002031,-65.13,-53.47,1
2002032,-65.2185,-53.5688,1
2002033,-65.2185,-53.5688,1
2002034,-65.2185,-53.5688,1
2002035,-65.1928,-53.5172,1
2002036,-65.1928,-53.5172,1
2002037,-65.1928,-53.5172,1
2002038,-65.1207,-53.5419,1
2002039,-65.1207,-53.5419,1
2002040,-65.1207,-53.5419,1
2002041,-65.083,-53.4487,1
2002042,-65.083,-53.4487,1
2002043,-65.083,-53.4487,1
2002044,-65.053,-53.2839,1
2002045,-65.053,-53.2839,1
2002046,-65.053,-53.2839,1
2002047,-65.053,-53.2839,1
2002048,-65.053,-53.2839,1
2002049,-65.053,-53.2839,1
2002050,-65.053,-53.2839,1
2002051,-65.053,-53.2839,1
2002052,-65.053,-53.2839,1
2002053,-65.053,-53.2839,1
2002054,-65.053,-53.2839,1
2002055,-65.053,-53.2839,1
2002056,-65.053,-53.2839,1
2002057,-65.053,-53.2839,1
2002058,-64.7092,-52.2583,1
2002059,-64.7298,-52.0946,1
2002060,-64.7298,-52.0946,1
2002061,-64.769,-52.0166,1
2002062,-64.769,-52.0166,1
2002063,-64.769,-52.0166,1
2002064,-64.7921,-52.1725,1
2002065,-64.7926,-52.3241,1
2002066,-64.7536,-52.3276,1
2002067,-64.7157,-52.3162,1
2002068,-64.6806,-52.4166,1
2002069,-64.6105,-52.3823,1
2002070,-64.5778,-52.5075,1
2002071,-64.5026,-52.5039,1
2002072,-64.5026,-52.5039,1
2002073,-64.3041,-52.3545,1
2002074,-64.1962,-52.3353,1
2002075,-64.1962,-52.3353,1
2002076,-64.1718,-52.5291,1
2002077,-64.1718,-52.5291,1
2002078,-64.1618,-52.543,0
2002079,-64.1431,-52.5781,0
2002080,-64.1331,-52.6245,1
2002081,-64.1567,-52.7035,1
2002082,-64.1408,-52.6737,1
2002083,-64.1408,-52.6737,1
2002084,-64.0868,-52.9022,1
2002085,-64.1267,-52.9454,1
2002086,-64.1267,-52.9454,1
2002087,-64.1267,-52.9454,1
2002088,-63.9927,-52.8026,1
2002089,-63.923,-52.6936,1
2002090,-63.9447,-52.6933,1
2002091,-63.9173,-52.649,1
2002092,-63.9173,-52.649,1
2002093,-63.835,-52.5328,1
2002094,-63.8443,-52.4409,1
2002095,-63.8589,-52.4937,1
2002096,-63.8816,-52.6711,1
2002097,-63.895,-52.7751,0
2002098,-63.9063,-52.8538,0
2002099,-63.9142,-52.9248,0
2002100,-63.9171,-53.0057,1
2002101,-63.8632,-53.1038,1
2002102,-63.7963,-53.0296,1
2002103,-63.7844,-52.9467,1
2002104,-63.7618,-52.9165,1
2002105,-63.795,-52.8954,1
2002106,-63.8406,-52.7469,1
2002107,-63.8221,-52.7861,1
2002108,-63.8221,-52.7861,1
2002109,-63.8018,-52.7161,1
2002110,-63.7413,-52.6466,1
2002111,-63.7413,-52.6466,1
2002112,-63.7413,-52.6466,1
2002113,-63.7026,-52.568,1
2002114,-63.7026,-52.568,1
2002115,-63.7026,-52.568,1
2002116,-63.7717,-52.7999,1
2002117,-63.7348,-52.7589,1
2002118,-63.7762,-52.9239,1
2002119,-63.7762,-52.9239,1
2002120,-63.7762,-52.9239,1
2002121,-63.7762,-52.9239,1
2002122,-63.8977,-52.9786,1
2002123,-63.9524,-52.7272,1
2002124,-64.0095,-52.6221,1
2002125,-63.952,-52.3268,1
2002126,-63.936,-52.1434,1
2002127,-63.999,-52.0717,1
2002128,-64.032,-51.8998,1
2002129,-63.9793,-51.8275,1
2002130,-63.8026,-51.6057,1
2002131,-63.8906,-51.926,1
2002132,-63.8723,-51.2066,1
2002133,-63.8035,-51.2785,1
2002134,-63.7493,-51.2668,1
2002135,-63.6919,-51.3705,1
2002136,-63.6896,-51.3681,1
2002137,-63.5976,-51.1102,1
2002138,-63.6981,-51.1934,1
2002139,-63.6638,-51.3616,1
2002140,-63.621,-51.336,1
2002141,-63.5335,-51.6437,1
2002142,-63.5399,-51.7405,1
2002143,-63.4291,-51.7823,1
2002144,-63.4465,-51.6993,1
2002145,-63.4039,-51.5133,1
2002146,-63.4506,-51.2318,1
2002147,-63.3538,-51.0942,1
2002148,-63.2751,-51.0156,1
2002149,-63.2245,-51.1316,0
2002150,-63.1677,-51.3641,1
2002151,-63.0469,-51.6831,1
2002152,-62.9297,-51.6519,1
2002153,-62.8246,-51.9608,1
2002154,-62.8246,-51.9608,1
2002155,-62.7403,-52.2373,1
2002156,-62.6869,-52.3498,1
2002157,-62.5853,-52.4889,1
2002158,-62.5853,-52.4889,1
2002159,-62.5853,-52.4889,1
2002160,-62.5576,-52.6769,1
2002161,-62.4853,-52.8986,1
2002162,-62.3307,-53.0894,1
2002163,-62.2451,-52.959,1
2002164,-62.2203,-52.9576,1
2002165,-62.1811,-53.1328,1
2002166,-62.0883,-53.4356,1
2002167,-61.9066,-53.1754,1
2002168,-61.705,-53.3224,0
2002169,-61.5243,-53.483,1
2002170,-61.4042,-53.4993,1
2002171,-61.3588,-53.6033,1
