date,qscat_1,qscat_2,qscat_3
2002015,-64.61,154.64,1
2002016,-64.61,154.64,1
2002017,-64.5721,154.4609,1
2002018,-64.5721,154.4609,1
2002019,-64.5214,154.3345,1
2002020,-64.4427,154.297,1
2002021,-64.3771,154.2952,1
2002022,-64.3163,154.2371,1
2002023,-64.3163,154.2371,1
2002024,-64.169,154.0813,1
2002025,-64.169,154.0813,1
2002026,-64.0807,154.2939,1
2002027,-64.0807,154.2939,1
2002028,-63.9754,154.4892,1
2002029,-63.9652,154.6174,1
2002030,-63.9414,154.6855,1
2002031,-63.9414,154.6855,1
2002032,-63.9843,154.7071,1
2002033,-63.9759,154.8517,1
2002034,-63.9759,154.8517,1
2002035,-63.9272,154.9831,1
2002036,-63.9272,154.9831,1
2002037,-63.7048,155.1122,1
2002038,-63.6249,155.2813,1
2002039,-63.4913,155.2973,1
2002040,-63.4289,155.3443,1
2002041,-63.4289,155.3443,1
2002042,-63.4289,155.3443,1
2002043,-63.4289,155.3443,1
2002044,-63.0908,155.5078,1
2002045,-63.0348,155.5357,1
2002046,-63.0348,155.5357,1
2002047,-62.9566,155.5847,1
2002048,-62.9566,155.5847,1
2002049,-62.7012,155.8543,1
2002050,-62.6263,155.962,1
2002051,-62.6263,155.962,1
2002052,-62.6263,155.962,1
2002053,-62.5848,156.5178,1
2002054,-62.5268,156.6089,1
2002055,-62.5268,156.6089,1
2002056,-62.5268,156.6089,1
2002057,-62.5268,156.6089,1
2002058,-62.2829,157.0514,1
2002059,-62.2479,157.1042,1
2002060,-62.2479,157.1042,1
2002061,-62.1733,157.0866,1
2002062,-62.1733,157.0866,1
2002063,-62.0808,156.7405,1
2002064,-62.0808,156.7405,1
2002065,-62.0756,157.1388,1
2002066,-62.0756,157.1388,1
2002067,-62.0943,157.3791,1
2002068,-62.042,157.626,1
2002069,-62.042,157.626,1
2002070,-62.042,157.626,1
2002071,-61.867,158.1668,1
2002072,-61.8575,158.3279,1
2002073,-61.8585,158.4868,1
2002074,-61.8585,158.4868,1
2002075,-61.8294,158.5541,1
2002076,-61.7898,158.5645,1
2002077,-61.7964,158.6977,1
2002078,-61.7835,158.7405,1
2002079,-61.7531,158.8919,0
2002080,-61.6984,159.1178,1
2002081,-61.5734,159.3576,1
2002082,-61.3027,159.4225,1
2002083,-61.3027,159.4225,1
2002084,-61.1983,159.4078,1
2002085,-61.1983,159.4078,1
2002086,-61.2728,159.5287,1
2002087,-61.196,159.6241,1
2002088,-61.1066,159.5263,1
2002089,-61.1413,159.3288,1
2002090,-61.1921,159.1825,1
2002091,-61.1921,159.1825,1
2002092,-61.2362,159.1001,1
2002093,-61.2362,159.1001,1
2002094,-61.2643,159.2133,1
2002095,-61.1787,159.2149,1
2002096,-61.1627,159.1525,1
2002097,-61.1644,159.1119,0
2002098,-61.1682,159.0766,0
2002099,-61.1719,159.0516,0
2002100,-61.1736,159.0421,1
2002101,-61.1736,159.0421,1
2002102,-61.1736,159.0421,1
2002103,-61.1736,159.0421,1
2002104,-61.2113,160.2237,1
