ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2019014,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019015,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019016,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019017,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019018,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019019,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019020,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019021,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019022,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019023,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019024,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019025,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019026,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019027,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019028,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019029,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019030,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019031,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019032,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019033,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019034,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019035,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,1,2019036,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,1,2019037,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,1,2019038,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019039,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019040,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019041,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019042,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019043,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019044,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,1,2019045,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019046,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019047,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019048,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,1,2019049,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019050,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019051,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019052,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,1,2019053,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019054,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019055,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019056,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019057,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019058,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019059,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019060,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019061,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019062,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019063,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019064,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,1,2019065,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,1,2019066,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019067,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019068,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019069,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019070,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019071,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019072,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019073,-64.8333,96.0167,0,0,0,0,0,0,0,0,0
0,0,0,2019074,-64.8333,96.0167,1,0,0,0,0,0,0,11,3
0,0,0,2019075,-64.8333,96.0176,0,0,0,0,0,0,0,0,0
0,0,0,2019076,-64.8333,96.02,0,0,0,0,0,0,0,0,0
0,0,0,2019077,-64.8333,96.0232,0,0,0,0,0,0,0,0,0
0,0,0,2019078,-64.8333,96.0268,0,0,0,0,0,0,0,0,0
0,0,0,2019079,-64.8333,96.03,0,0,0,0,0,0,0,0,0
0,0,0,2019080,-64.8333,96.0324,0,0,0,0,0,0,0,0,0
0,0,0,2019081,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019082,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,1,2019083,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019084,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019085,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019086,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019087,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019088,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,1,2019089,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019090,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019091,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019092,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019093,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019094,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019095,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019096,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019097,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019098,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019099,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019100,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019101,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019102,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019103,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019104,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019105,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019106,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019107,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019108,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019109,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019110,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019111,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019112,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019113,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019114,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019115,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019116,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019117,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019118,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019119,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019120,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019121,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019122,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019123,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019124,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019125,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019126,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019127,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019128,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019129,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019130,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019131,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019132,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019133,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019134,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019135,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019136,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019137,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019138,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019139,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019140,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019141,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019142,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019143,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019144,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019145,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019146,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019147,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019148,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019149,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019150,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019151,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019152,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019153,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019154,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019155,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019156,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019157,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019158,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019159,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019160,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019161,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019162,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019163,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019164,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019165,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019166,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019167,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019168,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019169,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019170,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019171,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019172,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019173,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019174,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019175,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019176,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019177,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019178,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019179,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019180,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019181,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019182,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019183,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019184,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019185,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019186,-64.8333,96.0333,1,0,0,0,0,0,0,11,3
0,0,0,2019187,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019188,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
0,0,0,2019189,-64.8333,96.0333,0,0,0,0,0,0,0,0,0
