date,sass_1,sass_2,sass_3
1978204,-65.4551,-39.6351,1
1978205,-65.4653,-39.6653,1
1978206,-65.4755,-39.6955,1
1978207,-65.4857,-39.7257,1
1978208,-65.4959,-39.7559,1
1978209,-65.5061,-39.7861,1
1978210,-65.5112,-39.8012,1
1978211,-65.5112,-39.8012,1
1978212,-65.5112,-39.8012,1
1978213,-65.5112,-39.8012,1
1978214,-65.5112,-39.8012,1
1978215,-65.5112,-39.8012,1
1978216,-65.5194,-39.8022,1
1978217,-65.5358,-39.8041,1
1978218,-65.5522,-39.806,1
1978219,-65.5686,-39.808,1
1978220,-65.585,-39.8099,1
1978221,-65.6014,-39.8118,1
1978222,-65.6096,-39.8128,1
1978223,-65.6096,-39.8128,1
1978224,-65.6096,-39.8128,1
1978225,-65.6096,-39.8128,1
1978226,-65.6096,-39.8128,1
1978227,-65.6096,-39.8128,1
1978228,-65.5914,-39.8001,1
1978229,-65.5549,-39.7748,1
1978230,-65.5183,-39.7494,1
1978231,-65.4819,-39.7241,1
1978232,-65.4454,-39.6987,1
1978233,-65.4089,-39.6734,1
1978234,-65.3906,-39.6607,1
1978235,-65.3906,-39.6607,1
1978236,-65.3906,-39.6607,1
1978237,-65.3906,-39.6607,1
1978238,-65.3906,-39.6607,1
1978239,-65.231,-38.476,0
1978240,-65.0394,-37.2047,1
1978241,-64.9971,-37.102,1
1978242,-64.9547,-36.9993,1
1978243,-64.9123,-36.8965,1
1978244,-64.8699,-36.7938,1
1978245,-64.8276,-36.6911,1
1978246,-64.7471,-36.6318,1
1978247,-64.6285,-36.6161,1
1978248,-64.5099,-36.6004,1
1978249,-64.3914,-36.5846,1
1978250,-64.2728,-36.5689,1
1978251,-64.1542,-36.5532,1
1978252,-64.0708,-36.4595,1
1978253,-64.0226,-36.288,1
1978254,-63.9744,-36.1164,1
1978255,-63.9262,-35.9449,1
1978256,-63.878,-35.7733,1
1978257,-63.8298,-35.6018,1
1978258,-63.7742,-35.5086,1
1978259,-63.7112,-35.4939,1
1978260,-63.6482,-35.4791,1
1978261,-63.5852,-35.4643,1
1978262,-63.5222,-35.4495,1
1978263,-63.4592,-35.4348,1
1978264,-63.4277,-35.4274,1
1978265,-63.4277,-35.4274,1
1978266,-63.4277,-35.4274,1
1978267,-63.4277,-35.4274,1
1978268,-63.4277,-35.4274,1
1978269,-63.4277,-35.4274,1
1978270,-63.4277,-35.4274,1
1978271,-63.4277,-35.4274,1
1978272,-63.4277,-35.4274,1
1978273,-63.4277,-35.4274,1
