date,ers_1,ers_2,ers_3
1995043,-69.31,-59.2,1
1995044,-69.31,-59.2,1
1995045,-69.31,-59.2,1
1995046,-69.3007,-59.178,1
1995047,-69.2822,-59.134,1
1995048,-69.2637,-59.09,1
1995049,-69.2544,-59.068,1
1995050,-69.2544,-59.068,1
1995051,-69.2544,-59.068,1
1995052,-69.2544,-59.068,1
1995053,-69.2544,-59.068,1
1995054,-69.2544,-59.068,1
1995055,-69.2431,-59.06,1
1995056,-69.2204,-59.044,1
1995057,-69.1978,-59.0281,1
1995058,-69.1865,-59.0201,1
1995059,-69.1865,-59.0201,1
1995060,-69.1865,-59.0201,1
1995061,-69.1599,-59.0321,1
1995062,-69.1066,-59.0562,1
1995063,-69.0533,-59.0802,1
1995064,-69.0267,-59.0922,1
1995065,-69.0267,-59.0922,1
1995066,-69.0267,-59.0922,1
1995067,-68.992,-59.0746,1
1995068,-68.9226,-59.0395,1
1995069,-68.8532,-59.0044,1
1995070,-68.7959,-58.9714,1
1995071,-68.7506,-58.9404,1
1995072,-68.7053,-58.9095,1
1995073,-68.6678,-58.9402,1
1995074,-68.6379,-59.0327,1
1995075,-68.608,-59.1252,1
1995076,-68.5931,-59.1714,1
1995077,-68.5931,-59.1714,1
1995078,-68.5931,-59.1714,1
1995079,-68.5295,-59.1639,1
1995080,-68.4022,-59.149,1
1995081,-68.2749,-59.1341,1
1995082,-68.1832,-59.1203,1
1995083,-68.127,-59.1077,1
1995084,-68.0708,-59.0951,1
1995085,-68.0427,-59.0888,1
1995086,-68.0427,-59.0888,1
1995087,-68.0427,-59.0888,1
1995088,-68.0236,-59.1147,1
1995089,-67.9853,-59.1666,1
1995090,-67.947,-59.2184,1
1995091,-67.9278,-59.2443,1
1995092,-67.9278,-59.2443,1
1995093,-67.9278,-59.2443,1
1995094,-67.9172,-59.2303,1
1995095,-67.8958,-59.2024,1
1995096,-67.8745,-59.1744,1
1995097,-67.8639,-59.1604,1
1995098,-67.8639,-59.1604,1
1995099,-67.8639,-59.1604,1
1995100,-67.8519,-59.1332,1
1995101,-67.828,-59.0788,1
1995102,-67.804,-59.0244,1
1995103,-67.792,-58.9972,1
1995104,-67.792,-58.9972,1
1995105,-67.792,-58.9972,1
1995106,-67.7579,-59.0007,1
1995107,-67.6897,-59.0076,1
1995108,-67.6215,-59.0146,1
1995109,-67.5663,-59.0261,1
1995110,-67.5242,-59.0421,1
1995111,-67.4821,-59.0582,1
1995112,-67.4471,-59.0727,1
1995113,-67.4194,-59.0857,1
1995114,-67.3916,-59.0987,1
1995115,-67.3596,-59.0935,1
1995116,-67.3235,-59.07,1
1995117,-67.2873,-59.0465,1
1995118,-67.2639,-59.0032,1
1995119,-67.2533,-58.9402,1
1995120,-67.2428,-58.8771,1
1995121,-67.2179,-58.8365,1
1995122,-67.1787,-58.8182,1
1995123,-67.1395,-58.8,1
1995124,-67.1077,-58.7554,1
1995125,-67.0833,-58.6844,1
1995126,-67.059,-58.6135,1
1995127,-67.0239,-58.604,1
1995128,-66.978,-58.6561,1
1995129,-66.9322,-58.7082,1
1995130,-66.9093,-58.7342,1
1995131,-66.9093,-58.7342,1
1995132,-66.9093,-58.7342,1
1995133,-66.9093,-58.7342,1
1995134,-66.9093,-58.7342,1
1995135,-66.9093,-58.7342,1
1995136,-66.9093,-58.7342,1
1995137,-66.9093,-58.7342,1
1995138,-66.9093,-58.7342,1
1995139,-66.9139,-58.7121,1
1995140,-66.9232,-58.668,1
1995141,-66.9326,-58.6238,1
1995142,-66.9346,-58.5665,1
1995143,-66.9293,-58.496,1
1995144,-66.924,-58.4255,1
1995145,-66.9214,-58.3903,1
1995146,-66.9214,-58.3903,1
1995147,-66.9214,-58.3903,1
1995148,-66.9214,-58.3903,1
1995149,-66.9214,-58.3903,1
1995150,-66.9214,-58.3903,1
1995151,-66.9214,-58.3903,1
1995152,-66.9214,-58.3903,1
1995153,-66.9214,-58.3903,1
1995154,-66.9214,-58.3903,1
1995155,-66.9214,-58.3903,1
1995156,-66.9214,-58.3903,1
1995157,-66.8834,-58.4104,1
1995158,-66.8073,-58.4505,1
1995159,-66.7311,-58.4906,1
1995160,-66.61,-58.5265,1
1995161,-66.4438,-58.558,1
1995162,-66.2776,-58.5895,1
1995163,-66.1467,-58.6206,1
1995164,-66.0512,-58.6513,1
1995165,-65.9556,-58.6819,1
1995166,-65.8817,-58.6843,1
1995167,-65.8296,-58.6586,1
1995168,-65.7775,-58.6328,1
1995169,-65.7514,-58.6199,1
