ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3
0,0,0,2008042,0,0,0,-64.9929,131.7883,1
0,0,0,2008043,0,0,0,-64.9929,131.7883,1
0,0,0,2008044,0,0,0,-64.9929,131.7883,1
0,0,0,2008045,0,0,0,-64.9929,131.7883,1
0,0,0,2008046,0,0,0,-64.9929,131.7883,1
0,0,0,2008047,0,0,0,-64.9929,131.7883,1
0,0,0,2008048,0,0,0,-64.9929,131.7883,1
0,0,0,2008049,0,0,0,-64.9929,131.7883,1
0,0,0,2008050,0,0,0,-64.9929,131.7883,1
0,0,0,2008051,0,0,0,-64.9929,131.7883,1
0,0,0,2008052,0,0,0,-64.9929,131.7883,1
0,0,0,2008053,0,0,0,-65.0394,131.8281,1
0,0,0,2008054,0,0,0,-65.0394,131.8281,1
0,0,0,2008055,0,0,0,-65.0394,131.8281,1
0,0,0,2008056,0,0,0,-65.0886,131.8373,1
0,0,0,2008057,0,0,0,-65.0886,131.8373,1
0,0,0,2008058,0,0,0,-65.0886,131.8373,1
0,0,0,2008059,0,0,0,-65.0886,131.8373,1
0,0,0,2008060,0,0,0,-65.1731,131.8261,1
0,0,0,2008061,0,0,0,-65.1731,131.8261,1
0,0,0,2008062,0,0,0,-65.3246,131.9284,1
0,0,0,2008063,0,0,0,-65.3246,131.9284,1
0,0,0,2008064,0,0,0,-65.4041,131.9097,1
0,0,0,2008065,0,0,0,-65.4727,131.8673,1
0,0,0,2008066,0,0,0,-65.4727,131.8673,1
0,0,0,2008067,0,0,0,-65.5344,131.8432,1
0,0,0,2008068,0,0,0,-65.607,131.9768,1
0,0,0,2008069,0,0,0,-65.6693,131.9779,1
0,0,0,2008070,0,0,0,-65.8132,131.9951,1
0,0,0,2008071,0,0,0,-65.8132,131.9951,1
0,0,0,2008072,0,0,0,-65.9121,131.8552,1
0,0,0,2008073,0,0,0,-65.9547,131.693,1
0,0,0,2008074,0,0,0,-65.9547,131.693,1
0,0,0,2008075,0,0,0,-65.9991,131.8035,1
0,0,0,2008076,0,0,0,-66.0037,131.7796,1
0,0,0,2008077,0,0,0,-66.0014,131.7097,1
0,0,0,2008078,0,0,0,-66.0014,131.7097,1
0,0,0,2008079,0,0,0,-66.0014,131.7097,1
0,0,0,2008080,0,0,0,-66.0014,131.7097,1
0,0,0,2008081,0,0,0,-66.0014,131.7097,1
0,0,0,2008082,0,0,0,-66.0014,131.7097,1
0,0,0,2008083,0,0,0,-66.0014,131.7097,1
0,0,0,2008084,0,0,0,-66.0014,131.7097,1
0,0,0,2008085,0,0,0,-66.0014,131.7097,1
0,0,0,2008086,0,0,0,-66.0014,131.7097,1
0,0,0,2008087,0,0,0,-66.0014,131.7097,1
0,0,0,2008088,0,0,0,-65.9353,131.7045,1
0,0,0,2008089,0,0,0,-65.9353,131.7045,1
0,0,0,2008090,0,0,0,-65.8401,131.5553,1
0,0,0,2008091,0,0,0,-65.8292,131.226,1
0,0,0,2008092,0,0,0,-65.8034,131.0869,1
0,0,0,2008093,0,0,0,-65.8034,131.0869,1
0,0,0,2008094,0,0,0,-65.8227,130.9672,1
0,0,0,2008095,0,0,0,-65.8227,130.9672,1
0,0,0,2008096,0,0,0,-65.8227,130.9672,1
0,0,0,2008097,0,0,0,-65.8227,130.9672,1
0,0,0,2008098,0,0,0,-65.8227,130.9672,1
0,0,0,2008099,0,0,0,-65.7396,130.666,1
0,0,0,2008100,0,0,0,-65.7396,130.666,1
0,0,0,2008101,0,0,0,-65.664,130.4823,1
0,0,0,2008102,0,0,0,-65.664,130.4823,1
0,0,0,2008103,0,0,0,-65.664,130.4823,1
0,0,0,2008104,0,0,0,-65.664,130.4823,1
0,0,0,2008105,0,0,0,-65.664,130.4823,1
0,0,0,2008106,0,0,0,-65.664,130.4823,1
0,0,0,2008107,0,0,0,-65.664,130.4823,1
0,0,0,2008108,0,0,0,-65.664,130.4823,1
0,0,0,2008109,0,0,0,-65.559,130.3021,1
0,0,0,2008110,0,0,0,-65.5036,130.251,1
0,0,0,2008111,0,0,0,-65.3922,129.9252,1
0,0,0,2008112,0,0,0,-65.4164,129.8509,1
0,0,0,2008113,0,0,0,-65.3662,129.9178,1
