date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1992150,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992151,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992152,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992153,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992154,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992155,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992156,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992157,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992158,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992159,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992160,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992161,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992162,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992163,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992164,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992165,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992166,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992167,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992168,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992169,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992170,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992171,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992172,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992173,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992174,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992175,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992176,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992177,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992178,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992179,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992180,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992181,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992182,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992183,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992184,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992185,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992186,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992187,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992188,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992189,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992190,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992191,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992192,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992193,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992194,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992195,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992196,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992197,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
