date,qscat_1,qscat_2,qscat_3
2002004,-63.63,-38.16,1
2002005,-63.63,-38.16,1
2002006,-63.6633,-38.1459,1
2002007,-63.6973,-38.0656,1
2002008,-63.6973,-38.0656,1
2002009,-63.7321,-37.9382,1
2002010,-63.7124,-37.7786,1
2002011,-63.7124,-37.7786,1
2002012,-63.7124,-37.7786,1
2002013,-63.7124,-37.7786,1
2002014,-63.6371,-37.565,1
2002015,-63.6371,-37.565,1
2002016,-63.6371,-37.565,1
2002017,-63.5944,-37.6657,1
2002018,-63.534,-37.706,1
2002019,-63.534,-37.706,1
2002020,-63.534,-37.706,1
2002021,-63.5003,-37.876,1
2002022,-63.4891,-37.7644,1
2002023,-63.4891,-37.7644,1
2002024,-63.4891,-37.7644,1
2002025,-63.4319,-37.8675,1
2002026,-63.4365,-37.7835,1
2002027,-63.4276,-37.8453,1
2002028,-63.4276,-37.8453,1
2002029,-63.4276,-37.8453,1
2002030,-63.4276,-37.8453,1
2002031,-63.5425,-38.0518,1
2002032,-63.5425,-38.0518,1
2002033,-63.5425,-38.0518,1
2002034,-63.5425,-38.0518,1
2002035,-63.5475,-37.9348,1
2002036,-63.5475,-37.9348,1
2002037,-63.5475,-37.9348,1
2002038,-63.5475,-37.9348,1
2002039,-63.5267,-37.879,1
2002040,-63.5267,-37.879,1
2002041,-63.5267,-37.879,1
2002042,-63.2611,-37.6074,1
2002043,-63.2611,-37.6074,1
2002044,-63.2611,-37.6074,1
2002045,-63.2611,-37.6074,1
2002046,-63.2903,-36.9908,1
2002047,-63.2611,-36.8723,1
2002048,-63.2246,-36.8188,1
2002049,-63.1993,-36.7768,1
2002050,-63.1637,-36.7383,1
2002051,-63.1385,-36.7505,1
2002052,-63.1385,-36.7505,1
2002053,-63.0902,-36.5223,1
2002054,-63.0456,-36.4307,1
2002055,-63.0456,-36.4307,1
2002056,-63.014,-36.6079,1
2002057,-63.014,-36.6079,1
2002058,-63.014,-36.6079,1
2002059,-62.9989,-36.5074,1
2002060,-62.9575,-36.595,1
2002061,-62.9417,-36.6686,1
2002062,-62.9417,-36.6686,1
2002063,-62.9417,-36.6686,1
2002064,-62.9846,-36.7044,1
2002065,-62.9846,-36.7044,1
2002066,-63.0363,-36.7763,1
2002067,-63.0363,-36.7763,1
2002068,-63.114,-36.9249,1
2002069,-63.114,-36.9249,1
2002070,-63.0558,-36.6597,1
2002071,-63.0558,-36.6597,1
2002072,-63.0558,-36.6597,1
2002073,-63.1166,-36.8087,1
2002074,-63.1451,-36.6861,1
2002075,-63.0845,-36.7295,1
2002076,-63.0434,-36.7618,1
2002077,-63.0625,-36.7788,1
2002078,-63.0739,-36.7768,0
2002079,-63.0829,-36.77,0
2002080,-63.0941,-36.7572,1
2002081,-63.1123,-36.612,1
2002082,-63.1123,-36.612,1
2002083,-63.1123,-36.612,1
2002084,-63.1427,-36.3395,1
2002085,-63.1088,-36.1862,1
2002086,-63.0856,-36.1026,1
2002087,-63.025,-36.1126,1
2002088,-63.011,-36.2564,1
2002089,-63.0233,-36.1547,1
2002090,-63.0244,-36.2709,1
2002091,-63.0114,-36.2358,1
2002092,-63.0114,-36.2358,1
2002093,-63.0114,-36.2358,1
2002094,-63.0114,-36.2358,1
2002095,-63.0114,-36.2358,1
2002096,-62.887,-35.7977,1
2002097,-62.888,-35.7214,0
2002098,-62.8907,-35.6885,0
2002099,-62.8944,-35.6574,0
2002100,-62.8984,-35.5859,1
2002101,-62.9038,-35.2733,1
2002102,-62.9188,-35.3779,1
2002103,-62.9418,-35.4266,1
2002104,-62.9271,-35.5354,1
2002105,-62.9604,-35.3951,1
2002106,-62.9846,-35.3023,1
2002107,-62.9788,-35.2083,1
2002108,-62.9814,-35.1077,1
2002109,-63.0342,-35.0649,1
2002110,-63.1378,-35.0014,1
2002111,-63.1603,-34.7863,1
2002112,-63.1581,-34.6992,1
2002113,-63.1843,-34.6542,1
2002114,-63.1843,-34.6542,1
2002115,-63.1843,-34.6542,1
2002116,-63.1843,-34.6542,1
2002117,-63.1732,-34.1903,1
2002118,-63.192,-34.0844,1
2002119,-63.192,-34.0844,1
2002120,-63.192,-34.0844,1
2002121,-63.192,-34.0844,1
2002122,-63.192,-34.0844,1
2002123,-63.192,-34.0844,1
2002124,-63.2271,-33.7644,1
2002125,-63.2459,-33.7035,1
2002126,-63.269,-33.6267,1
2002127,-63.3096,-33.6093,1
2002128,-63.3137,-33.3475,1
2002129,-63.325,-33.2811,1
2002130,-63.281,-33.1917,1
2002131,-63.2543,-33.075,1
2002132,-63.2543,-33.075,1
2002133,-63.1673,-32.9246,1
2002134,-63.1547,-33.1395,1
2002135,-63.1486,-33.3171,1
2002136,-63.1666,-33.4132,1
2002137,-63.2247,-33.3155,1
2002138,-63.2792,-33.2397,1
2002139,-63.3356,-33.1273,1
2002140,-63.3356,-33.1273,1
2002141,-63.3788,-32.7873,1
2002142,-63.452,-32.6153,1
2002143,-63.4604,-32.5446,1
2002144,-63.4955,-32.4521,1
2002145,-63.4955,-32.4521,1
2002146,-63.4904,-32.1925,1
2002147,-63.5034,-32.0241,1
2002148,-63.5247,-31.7509,1
2002149,-63.5086,-31.6047,0
2002150,-63.4924,-31.4832,1
2002151,-63.5022,-31.3431,1
2002152,-63.5652,-31.2175,1
2002153,-63.5969,-31.1526,1
2002154,-63.6122,-31.0198,1
2002155,-63.6141,-30.734,1
2002156,-63.5763,-30.8138,1
2002157,-63.5763,-30.8138,1
2002158,-63.5782,-30.5911,1
2002159,-63.5782,-30.5911,1
2002160,-63.6686,-30.4112,1
2002161,-63.6686,-30.4112,1
2002162,-63.6834,-30.2983,1
2002163,-63.6834,-30.2983,1
2002164,-63.7415,-30.1063,1
2002165,-63.7415,-30.1063,1
2002166,-63.7679,-30.3679,1
2002167,-63.8309,-30.5725,1
2002168,-63.8309,-30.5725,1
2002169,-63.9416,-30.6489,1
2002170,-63.845,-30.915,1
2002171,-63.6892,-30.6381,1
2002172,-63.6344,-30.6683,1
2002173,-63.6344,-30.6683,1
2002174,-63.4377,-30.5283,1
2002175,-63.2951,-30.3852,1
2002176,-63.2344,-30.0918,1
2002177,-63.1226,-29.9379,1
2002178,-63.0559,-29.6107,1
2002179,-63.0559,-29.6107,1
2002180,-63.0182,-29.1135,1
2002181,-62.9227,-28.8529,1
2002182,-62.8692,-28.8813,1
2002183,-62.772,-28.8246,1
2002184,-62.7701,-28.7244,1
2002185,-62.6351,-28.5404,1
2002186,-62.6351,-28.5404,1
2002187,-62.8262,-28.573,1
2002188,-62.9058,-28.9516,1
2002189,-62.9311,-29.0354,1
2002190,-62.8282,-29.6964,1
2002191,-62.7226,-29.9035,1
2002192,-62.4717,-29.7662,1
2002193,-62.3976,-29.522,1
2002194,-62.4711,-29.759,1
2002195,-62.452,-29.4429,1
2002196,-62.4454,-29.2554,1
2002197,-62.426,-29.0401,1
2002198,-62.322,-28.7615,1
2002199,-62.2955,-28.6955,1
2002200,-62.224,-28.6716,1
2002201,-62.1431,-28.6958,1
2002202,-62.1431,-28.6958,1
2002203,-62.1431,-28.6958,1
2002204,-62.1211,-28.7136,1
2002205,-61.951,-28.7046,1
2002206,-61.8013,-28.718,1
2002207,-61.6996,-28.611,1
2002208,-61.619,-28.379,1
2002209,-61.4918,-28.167,1
2002210,-61.4171,-27.7507,1
2002211,-61.3402,-27.6575,1
2002212,-61.2597,-27.6469,1
2002213,-61.1927,-27.6646,1
2002214,-61.1927,-27.6646,1
2002215,-61.2182,-27.2367,1
2002216,-61.2182,-27.2367,1
2002217,-61.117,-27.3926,1
2002218,-60.9174,-27.4371,1
2002219,-60.797,-27.2906,1
2002220,-60.6664,-27.1534,1
2002221,-60.5827,-26.8504,1
2002222,-60.5729,-26.5881,1
2002223,-60.5729,-26.5881,1
2002224,-60.7773,-26.1506,1
2002225,-60.9065,-25.9692,1
2002226,-60.9065,-25.9692,1
2002227,-60.8131,-25.3877,1
2002228,-60.8131,-25.3877,1
2002229,-60.8131,-25.3877,1
2002230,-60.7111,-24.9751,1
2002231,-60.606,-24.7855,1
2002232,-60.606,-24.7855,1
2002233,-60.4521,-24.6208,1
2002234,-60.4521,-24.6208,1
2002235,-60.4521,-24.6208,1
2002236,-60.4553,-24.4837,1
2002237,-60.4553,-24.4837,1
2002238,-60.3892,-24.6824,1
2002239,-60.3892,-24.6824,1
2002240,-60.2381,-24.8304,1
2002241,-60.2381,-24.8304,1
2002242,-60.2877,-24.8852,1
2002243,-60.2877,-24.8852,1
2002244,-60.1427,-24.7825,1
2002245,-60.1064,-24.5512,1
2002246,-60.1361,-24.2708,1
2002247,-60.1853,-24.099,1
2002248,-60.3233,-24.1234,1
2002249,-60.4418,-23.8933,1
2002250,-60.6262,-23.9215,1
2002251,-60.7102,-23.2258,1
2002252,-60.6555,-22.8453,1
2002253,-60.4184,-22.2373,1
2002254,-60.0383,-21.5138,1
2002255,-59.9322,-20.8651,1
2002256,-59.7582,-20.9175,1
2002257,-59.4495,-21.3753,1
2002258,-59.4495,-21.3753,1
2002259,-59.0161,-21.092,1
2002260,-58.8879,-20.7673,1
2002261,-58.8863,-20.44,1
2002262,-58.8486,-19.9946,1
2002263,-58.8486,-19.9946,1
2002264,-58.7593,-19.5319,1
2002265,-58.7593,-19.5319,1
2002266,-58.7593,-19.5319,1
2002267,-58.8422,-19.1683,1
2002268,-58.8422,-19.1683,1
2002269,-58.8422,-19.1683,1
2002270,-58.8422,-19.1683,1
2002271,-58.6566,-18.9112,1
2002272,-58.4902,-18.295,1
2002273,-58.4902,-18.295,1
2002274,-58.2534,-18.1264,1
2002275,-58.2534,-18.1264,1
2002276,-57.9884,-18.2389,1
2002277,-57.9884,-18.2389,1
2002278,-57.9361,-17.7122,0
2002279,-57.8388,-16.7339,0
2002280,-57.7865,-16.2072,1
2002281,-57.7865,-16.2072,1
2002282,-57.7865,-16.2072,1
2002283,-57.7865,-16.2072,1
2002284,-57.7865,-16.2072,1
2002285,-57.8446,-16.4358,1
2002286,-57.8446,-16.4358,1
2002287,-57.72,-16.5243,1
2002288,-57.6471,-16.5012,1
2002289,-57.6471,-16.5012,1
2002290,-57.3936,-16.5145,1
2002291,-57.3936,-16.5145,1
2002292,-57.3936,-16.5145,1
2002293,-57.5597,-16.3916,1
2002294,-57.5597,-16.3916,1
2002295,-57.5597,-16.3916,1
2002296,-57.5597,-16.3916,1
2002297,-57.6931,-16.4247,1
2002298,-57.6093,-15.8824,1
2002299,-57.4081,-15.3295,1
2002300,-57.2326,-14.902,1
2002301,-57.2326,-14.902,1
2002302,-57.4581,-15.1173,1
2002303,-57.4581,-15.1173,1
2002304,-57.4581,-15.1173,1
2002305,-57.4581,-15.1173,1
2002306,-57.4581,-15.1173,1
2002307,-57.56,-14.615,1
2002308,-57.56,-14.615,1
2002309,-57.828,-14.9593,1
2002310,-57.6914,-14.9451,1
2002311,-57.6914,-14.9451,1
2002312,-57.7504,-14.4973,1
2002313,-57.7504,-14.4973,1
2002314,-57.7847,-14.3555,1
2002315,-57.7847,-14.4445,1
2002316,-57.8563,-14.2466,1
2002317,-57.6485,-13.9153,1
2002318,-57.5705,-13.8672,1
2002319,-57.5249,-13.9748,1
2002320,-57.5249,-13.9748,1
2002321,-57.7281,-13.8562,1
2002322,-57.7281,-13.8562,1
2002323,-57.7601,-13.7777,0
2002324,-57.7921,-13.5827,1
2002325,-57.4339,-13.0513,1
2002326,-57.4339,-13.0513,1
2002327,-57.4339,-13.0513,1
2002328,-57.4339,-13.0513,1
2002329,-57.4339,-13.0513,1
2002330,-57.4339,-13.0513,1
2002331,-57.4339,-13.0513,1
2002332,-57.4339,-13.0513,1
2002333,-57.4339,-13.0513,1
2002334,-57.4339,-13.0513,1
2002335,-57.3202,-13.0642,1
